Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
29	-7.7772427	1.5097398	-5.0720162	-11.382059	-5.368423	1.2643434	-3.7950315	-7.7918787	30.0	30.0	115999	-1.468288	1.5885179	2.1291108	-10.810465	1.320655	0.032505024	473.3713433742523
30	-7.6054196	1.9794327	-5.1254396	-21.779228	-5.288305	1.4144822	-3.717798	-7.4179115	30.0	30.0	119999	-1.4613783	1.58296	1.5851233	-10.300228	1.3158759	0.03188622	491.28268814086914
31	-7.4663367	1.3837618	-4.985047	-10.710246	-5.570151	1.3277187	-3.7927403	-8.058805	30.0	30.0	123999	-1.4619763	1.5756162	3.3501725	-9.939806	1.319908	0.032598566	508.6666419506073
32	-7.6097593	1.4938498	-5.023935	-11.045489	-5.2595844	1.1825169	-3.4434116	-7.505105	30.0	30.0	127999	-1.4742458	1.5690469	3.308599	-10.359848	1.3333145	0.031910006	526.4060492515564
33	-7.7236576	1.5106012	-4.9660354	-10.808244	-5.7675905	1.3674419	-3.9580288	-7.8860717	30.0	30.0	131999	-1.4704673	1.5622739	4.064279	-9.899834	1.3327566	0.03125931	543.6081771850586
34	-7.629257	1.5712678	-5.1459484	-11.281509	-5.1891084	1.1591744	-3.5941803	-7.027595	30.0	30.0	135999	-1.4581803	1.5643374	1.8902768	-10.9031	1.3214923	0.03130423	560.8295578956604
35	-7.7117147	1.7104175	-4.991717	-14.40691	-6.0287104	3.866295	-3.5140302	-17.026495	30.0	30.0	139999	-1.4551247	1.544695	2.891706	-11.703318	1.3221282	0.031250637	578.6714174747467
36	-7.6144433	1.642034	-5.169539	-15.628414	-5.721026	1.2478398	-3.7524722	-7.610094	30.0	30.0	143999	-1.4417256	1.5544862	1.8096446	-10.376784	1.3083639	0.031191796	595.4310946464539
37	-7.873981	1.4724077	-5.144418	-11.0036545	-4.519536	1.0766017	-3.5142014	-7.4047995	30.0	30.0	147999	-1.4123725	1.5411116	2.3527353	-9.8313265	1.2796835	0.029828338	613.024982213974
38	-7.826013	1.5191436	-5.071268	-11.1006365	-5.1168017	1.5306089	-3.4462461	-7.722762	30.0	30.0	151999	-1.3846959	1.535346	3.5897942	-10.649039	1.253168	0.02811402	630.5641491413116
