Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-227.51846	245.69283	-29.370728	-1181.8365	-654.85046	354.01498	-49.721046	-1092.5422	154.48	740.2	3999	3.6194007	6.0331516	37.684875	-29.684465	3.6200826	6.0271635	40.280304	-30.42642	-4.6377025	3.0238109	29.625456	-18.545326	-5.8805103	0.58044434	0.61256874	29.028974533081055
2	-147.32872	116.89236	-13.241177	-412.26462	-366.81558	706.07764	-28.716301	-2468.723	96.139534	134.5	7999	26.08234	14.829925	94.07692	-31.357452	26.081318	14.828185	93.89969	-31.98221	0.9621582	5.1296763	36.85573	-20.420387	-30.270252	2.7711728	2.8003592	58.619487285614014
3	-414.85312	621.4327	-60.541473	-2539.169	-823.0747	866.93286	-30.380621	-1983.6482	213.06667	430.8	11999	93.33329	27.664608	180.43262	-36.02244	93.33155	27.668158	181.20613	-26.860065	6.9521146	6.885738	50.1229	-19.732334	-100.08325	11.355043	11.471786	102.90315175056458
4	-303.21088	393.12088	-35.599113	-2068.467	-324.87558	177.19626	-53.091743	-608.8114	131.87097	443.4	15999	112.49948	17.80145	174.87704	-46.075974	112.49935	17.827047	177.29677	-49.740818	0.8345169	5.0703797	41.204544	-17.778816	-115.03687	14.027205	13.837002	146.3865041732788
5	-394.08826	430.62338	-43.551136	-1320.9467	-231.26514	211.48935	156.48914	-573.19775	287.4375	654.4	19999	83.75199	16.679287	150.30473	-53.848866	83.75172	16.683252	150.09694	-47.43301	-1.8780992	3.7633405	35.87624	-18.216698	-85.42262	7.5447025	7.5464215	198.45015382766724
6	-171.38867	137.10608	-11.669926	-597.6526	287.1185	133.74886	473.8342	-12.078616	130.67857	1000.0	23999	58.074474	14.176249	134.50531	-55.423016	58.075516	14.172784	134.7443	-45.044487	-3.2122235	3.1639345	32.920486	-17.971268	-59.408493	5.4333615	5.4453173	275.56641149520874
7	-499.8605	300.28247	-115.33068	-875.61084	379.32324	224.69278	594.2327	-45.85311	553.2857	902.5	27999	37.2635	12.052412	120.214874	-45.86613	37.26496	12.047985	115.86962	-41.16187	-3.8459768	2.819493	28.48279	-17.94844	-38.490303	3.7347026	3.757927	347.7718632221222
8	-334.38696	273.43008	-19.35146	-845.449	297.3323	241.8291	663.44763	-146.60255	387.0	1000.0	31999	24.090145	10.827123	95.98791	-60.21202	24.092205	10.823082	96.15747	-49.78954	-4.193758	2.590369	25.47625	-19.150082	-25.282852	2.9421399	2.9283922	419.398717880249
9	-378.35474	278.30615	-39.15845	-835.5817	86.91846	557.26965	761.6622	-909.3874	448.0	1000.0	35999	15.683502	10.900867	77.1642	-69.04602	15.687653	10.894086	75.62229	-70.35329	-4.3895516	2.4437401	22.872046	-17.62946	-16.82409	2.7945614	2.8008952	490.49506163597107
10	-568.39325	357.69412	-132.69273	-1159.0056	-48.46119	447.01663	722.39105	-799.6472	703.4	1000.0	39999	9.687248	9.989137	61.56386	-64.31952	9.688207	9.987953	60.738895	-61.86711	-4.468133	2.3865604	18.690483	-18.937733	-10.797341	2.681155	2.6795943	561.366735458374
11	-213.93375	226.55888	17.683884	-677.0757	411.22656	220.10544	720.53156	-16.54896	293.5	1000.0	43999	5.674406	9.127858	52.87936	-76.99925	5.6670074	9.13369	51.734585	-79.1213	-4.5324016	2.3566914	21.299261	-18.650858	-6.7643437	2.5092764	2.4908495	630.3204836845398
12	-238.58095	139.12349	-12.032551	-560.0108	315.97638	292.03094	705.1648	-204.85387	350.0	1000.0	47999	3.1158803	8.80098	48.649113	-65.33438	3.1078806	8.803772	48.217167	-65.94551	-4.585546	2.33144	21.069307	-19.207613	-4.172124	2.4568858	2.467727	700.0953238010406
13	-404.9601	324.5318	-25.72768	-831.5251	399.70914	247.65971	805.849	-76.088326	598.1667	1000.0	51999	1.1024773	8.595253	45.368572	-63.762836	1.0952948	8.5953865	45.445236	-68.36514	-4.571356	2.3068311	19.749872	-17.702969	-2.1276689	2.4786448	2.4759576	771.3755130767822
14	-382.28418	243.6679	-14.078566	-638.5344	358.02902	113.03439	509.22855	131.21846	656.4286	1000.0	55999	-0.14630423	8.560449	43.253532	-64.7693	-0.15269135	8.560618	44.50284	-72.50711	-4.572519	2.2696092	27.263493	-17.371653	-0.84920806	2.472353	2.4843392	841.4066390991211
15	-237.02095	176.9028	-18.999092	-484.3551	455.8521	298.00528	768.1771	-258.10474	388.45456	1000.0	59999	-0.9764357	8.48874	42.779892	-67.59436	-0.98117477	8.486361	45.4031	-77.18122	-4.548464	2.275627	20.42297	-17.633068	0.0019941407	2.4027846	2.423087	913.3301379680634
16	-436.49008	274.99683	-27.220875	-834.48676	351.45206	223.13847	677.6059	107.95835	604.6	1000.0	63999	-1.5975486	8.736114	42.908825	-66.289955	-1.6014397	8.732791	42.38393	-66.24708	-4.5564075	2.2605774	21.646053	-19.003448	0.6595231	2.5203621	2.5611165	984.2452926635742
17	-192.33588	196.88605	-8.205912	-665.3444	426.48868	147.30232	645.7178	245.3593	321.93332	1000.0	67999	-2.2818122	8.902702	40.396065	-64.1663	-2.2854135	8.896474	42.93924	-67.03641	-4.550286	2.2523496	22.797249	-17.368267	1.3809885	2.6142647	2.65346	1055.0287690162659
18	-292.49594	190.85555	-44.210754	-664.3192	349.08276	274.62228	659.20917	-256.80518	549.0	1000.0	71999	-2.7327735	9.222553	46.912586	-71.199615	-2.7351494	9.219797	41.55021	-67.07295	-4.5047855	2.2646732	16.538979	-21.073038	1.8514928	2.6124444	2.652229	1121.2722380161285
19	-487.82324	238.51941	-74.30607	-793.3742	354.6298	293.69376	747.46686	-232.62375	798.8	1000.0	75999	-3.0632513	9.4204035	42.908855	-75.79369	-3.065643	9.419037	42.92908	-73.45568	-4.52911	2.2509432	18.552525	-21.006128	2.1959212	2.5973325	2.6143105	1186.75679397583
20	-289.49216	291.29343	-10.436449	-837.0113	370.91858	301.7295	628.4813	-286.0719	458.22223	1000.0	79999	-3.3248944	9.603471	44.458607	-63.45841	-3.327824	9.601199	43.566345	-64.76277	-4.5305862	2.2436738	20.34579	-21.251854	2.48671	2.6957748	2.7235954	1253.0184919834137
21	-296.12335	223.33679	-81.96657	-810.74493	436.56403	221.25273	656.6692	-17.788708	462.44446	1000.0	83999	-3.6594546	9.883307	46.30791	-75.1785	-3.6620584	9.87957	45.738636	-72.84168	-4.552393	2.2577975	20.621424	-17.92627	2.8477116	2.7468052	2.7696025	1317.0590825080872
22	-313.99002	250.4315	-21.19962	-714.2143	302.36993	216.69838	645.6954	8.69925	492.125	903.7	87999	-4.090559	10.274408	44.846092	-69.90732	-4.0945654	10.271135	43.76072	-71.11284	-4.5547442	2.255762	25.695822	-19.181522	3.2932353	2.8281066	2.8531713	1379.0518379211426
23	-207.80882	222.71735	-11.984152	-559.81555	337.11798	145.16754	583.0379	114.08078	388.55554	1000.0	91999	-4.3291974	10.734215	43.577747	-70.39368	-4.3321323	10.730475	44.841724	-76.46396	-4.51994	2.2747731	19.26384	-19.74081	3.5550108	2.8728144	2.919331	1443.0903437137604
24	-232.91309	194.33426	-7.7590203	-608.1597	521.8974	93.448456	699.9154	412.40854	457.1	1000.0	95999	-4.502142	11.057302	44.80105	-69.00822	-4.5057735	11.0532	42.23356	-70.64565	-4.5252056	2.2812757	19.887518	-19.559252	3.739603	2.8969774	2.9396112	1506.624656677246
25	-245.55838	242.01344	-34.793633	-641.94995	520.64	206.99704	767.78094	124.170265	448.5	1000.0	99999	-4.6366158	11.494846	43.07275	-74.447205	-4.6393433	11.490689	43.42536	-80.45343	-4.546885	2.2646244	26.520752	-17.35911	3.8898199	2.9525738	2.9878712	1570.0041055679321
26	-181.73283	97.15822	-52.066765	-358.23026	415.06137	295.64957	721.80383	-334.80878	367.0	1000.0	103999	-4.7900057	11.981687	42.769722	-74.80465	-4.7918563	11.979563	40.861923	-78.86821	-4.5748115	2.272168	20.251827	-18.677132	4.054807	3.0051622	3.029293	1633.7268550395966
27	-253.32013	151.7272	-35.191853	-430.6933	315.1478	346.7744	724.7628	-354.8049	605.1667	905.3	107999	-4.6123185	12.464513	42.965363	-70.712	-4.6136403	12.462032	41.47076	-71.11831	-4.5871687	2.28288	18.835363	-18.08822	3.8768227	2.9400551	2.9822714	1695.3054475784302
28	-427.61856	104.86391	-264.1907	-588.5866	489.73956	158.5063	670.35	99.70341	888.4	1000.0	111999	-4.03715	12.917099	41.692646	-81.65109	-4.038214	12.913699	41.6229	-81.258865	-4.641769	2.2937505	23.078129	-18.003073	3.3025796	2.8183658	2.8710637	1757.8115983009338
29	-388.49457	116.01301	-162.09253	-493.75244	376.05383	346.46185	722.26263	-283.66614	857.8	902.4	115999	-3.2205777	13.359836	42.776066	-77.61798	-3.2208006	13.357243	41.381233	-76.285484	-4.6860986	2.2870765	29.065624	-17.110924	2.4746733	2.713332	2.760421	1818.5395276546478
30	-263.34784	241.56389	-15.896188	-566.5997	323.59393	311.78275	857.481	-139.07143	527.0	904.0	119999	-2.523323	13.703433	43.588444	-76.23494	-2.5231833	13.700546	42.774754	-85.2831	-4.7215214	2.2820137	21.006033	-24.75953	1.7771369	2.692166	2.7420921	1881.116443157196
