Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-80.96649	79.773026	-6.559321	-499.57843	-352.78238	283.9736	-26.800503	-718.56525	94.690475	517.3	3999	3.6138225	6.6473503	34.865204	-27.078175	3.6130633	6.64805	35.487633	-26.429583	-1.9291283	3.106988	23.914886	-18.699682	-5.5013347	0.79053336	0.7966278	23.901302576065063
2	-78.54203	106.573715	-1.0334873	-587.3545	-1063.2323	674.2668	-50.27516	-1882.7043	92.25	721.4	7999	28.038305	13.446564	76.614685	-23.486885	28.03844	13.443322	77.34981	-23.249315	1.5242642	3.7339385	24.918488	-14.547731	-31.338718	2.7408233	2.7748291	56.50327944755554
3	-270.04166	343.62567	-10.006612	-1264.9619	-227.96025	356.06815	45.915737	-935.4966	307.30768	375.0	11999	73.063225	17.611305	126.56657	-26.054867	73.06482	17.60383	127.82161	-20.347193	3.5783107	4.571367	33.430122	-16.766085	-77.24846	5.976772	5.9733367	83.9163007736206
4	-219.83746	278.51324	-11.468714	-893.2528	75.63942	105.77881	282.22406	-31.74139	269.625	437.9	15999	83.51884	16.248722	129.27766	-31.948797	83.51806	16.245876	129.42758	-41.065094	0.25383532	3.4970028	31.104519	-14.374802	-85.26998	6.1630535	6.244381	111.9686849117279
5	-183.81982	140.66956	-23.948109	-455.25333	297.89835	246.3489	687.18726	36.705505	434.1	911.2	19999	70.13464	15.948691	120.04668	-36.687355	70.13437	15.941883	120.59129	-37.903435	-0.8420633	2.8532188	30.900053	-16.419445	-71.254616	4.8002567	4.9307256	147.430819272995
6	-122.6584	114.287704	28.276936	-324.6926	667.4073	74.98526	783.2703	486.5142	275.57144	1000.0	23999	56.69925	13.339025	109.76944	-37.34645	56.6991	13.337331	107.800316	-36.947754	-1.439606	2.5813131	22.98236	-15.00704	-57.566086	3.8992329	3.9126513	182.7214322090149
7	-52.0175	65.65077	26.947678	-173.12907	676.47156	121.14892	785.2873	359.0511	339.0	1000.0	27999	45.45396	10.925199	86.674446	-31.66806	45.45363	10.924576	87.76988	-31.029789	-1.8216331	2.4029307	26.285086	-16.21042	-46.229137	2.8905559	2.9308686	218.03789281845093
8	-114.49463	106.11155	-3.624939	-330.9303	702.2261	111.74643	873.6761	527.5977	438.8889	1000.0	31999	37.335316	10.308115	76.995	-27.44194	37.334934	10.307447	75.7312	-29.718582	-2.1472347	2.2552102	20.273647	-14.98005	-38.041225	2.394602	2.414742	253.5144760608673
9	-36.878773	61.003456	56.609207	-108.56536	708.42114	94.15169	800.58704	448.4431	817.0	1000.0	35999	31.14258	9.969309	67.79072	-29.738548	31.142487	9.970186	67.04424	-30.95429	-2.2727687	2.1922452	18.955475	-15.737907	-31.847624	1.9754732	1.9710077	288.4650528430939
10	-50.68261	96.2038	72.53793	-285.10043	791.5677	122.5427	927.7548	523.49963	488.1	1000.0	39999	27.981043	9.459784	64.15496	-29.63234	27.981052	9.459607	63.14879	-45.88623	-2.4285083	2.1312203	17.226185	-14.722001	-28.653059	1.8081765	1.8084943	324.1191465854645
11	-0.4680056	81.65874	67.44776	-184.92546	725.78156	60.966858	812.26624	622.896	564.8571	1000.0	43999	26.05554	9.1679125	59.6124	-33.97335	26.055578	9.167713	59.70415	-39.835346	-2.44586	2.083631	17.834772	-16.898045	-26.702253	1.7559763	1.7644436	359.35835361480713
12	-104.736206	79.09946	-4.173301	-202.92542	840.131	66.45708	929.1042	731.18805	661.8	1000.0	47999	24.789492	9.0158	59.716454	-31.095911	24.789576	9.013709	57.329205	-28.713076	-2.4495435	2.0649393	16.30581	-15.084171	-25.407171	1.7578965	1.773133	394.38477325439453
13	31.42069	81.67223	130.73709	-66.10451	760.6404	143.76997	912.3589	468.75592	778.0	1000.0	51999	24.182875	9.190648	61.360783	-28.019295	24.18298	9.187124	59.08445	-29.861132	-2.446149	2.02885	17.849272	-14.901617	-24.78548	1.731968	1.7599398	429.7975797653198
14	-27.370935	139.89006	132.32283	-252.20706	819.06934	37.90178	897.13855	761.4783	796.75	1000.0	55999	23.879887	9.029738	58.71308	-35.02521	23.879597	9.028891	58.286114	-39.60152	-2.4716222	2.015503	17.170536	-14.652678	-24.475714	1.6776851	1.6795874	464.99372124671936
15	20.906046	53.51222	127.84965	-87.88084	729.20416	76.43974	831.269	564.3604	421.81818	1000.0	59999	23.973166	9.117105	59.659798	-40.82838	23.972965	9.117119	59.570095	-34.31326	-2.4890652	2.0244966	22.985214	-15.744136	-24.548431	1.6764268	1.6757395	500.4078195095062
16	55.470726	32.720436	106.85782	3.593867	764.88245	131.67728	943.74756	464.519	813.8	1000.0	63999	24.250563	9.352621	61.638138	-32.730446	24.250877	9.351561	60.283924	-32.13008	-2.4895618	2.0074055	19.800552	-14.773312	-24.80426	1.6215912	1.6402837	535.6376225948334
17	100.2026	59.305935	168.75563	-9.866681	730.01355	72.43414	824.9765	558.4623	803.4	1000.0	67999	24.604582	9.565966	60.28603	-29.323515	24.604258	9.565753	59.798466	-30.9098	-2.5188823	1.9862359	21.789593	-17.014263	-25.143532	1.5883996	1.5960029	570.6050138473511
18	49.608498	59.704533	130.67159	-44.369743	832.2161	37.754345	901.6739	770.6664	717.0	1000.0	71999	25.188833	9.6811285	63.81601	-32.2782	25.18863	9.6801	64.18014	-34.286594	-2.5055602	2.0046308	17.86303	-16.173851	-25.711065	1.5726299	1.5858073	605.8541610240936
19	121.04633	59.10854	162.40863	19.801027	788.25354	112.565704	922.04016	534.04297	1000.0	1000.0	75999	25.754852	9.887851	63.69716	-34.081814	25.754202	9.887345	64.21454	-41.18918	-2.5266087	1.9934483	16.160292	-15.035576	-26.261822	1.5949054	1.6097282	641.115382194519
20	90.42428	46.72806	146.28539	11.042254	763.1262	89.92055	872.31854	567.77466	805.0	1000.0	79999	26.326288	10.220709	66.16308	-29.853102	26.3263	10.22089	66.989876	-33.691734	-2.535155	1.9821669	15.944841	-15.512542	-26.814453	1.6062775	1.6066769	677.0009155273438
21	95.27902	85.62057	197.36528	-34.19262	757.19543	50.95418	836.1377	674.5987	706.0	1000.0	83999	26.723545	10.48564	64.559395	-38.78972	26.723274	10.486401	64.47323	-35.34244	-2.521181	1.9834216	15.701708	-15.256649	-27.202364	1.6263413	1.6356629	712.259925365448
22	101.56436	40.257866	172.46849	62.991302	732.54834	60.104267	818.501	638.11005	695.6667	1000.0	87999	27.16411	10.736676	63.68435	-30.309128	27.164068	10.736833	63.463665	-30.448195	-2.53984	1.9918963	18.186232	-14.144957	-27.636292	1.664854	1.6651639	747.1561052799225
23	109.56924	38.15579	156.27734	54.75483	681.1455	143.70839	833.5051	366.11145	1000.0	1000.0	91999	27.590963	10.853855	62.175858	-35.47451	27.589832	10.855287	62.777447	-32.843304	-2.5429842	1.9956304	18.412245	-16.659449	-28.047932	1.6835837	1.6923866	782.0727989673615
24	91.00052	49.968952	168.92566	26.446213	730.5038	63.852455	840.43945	656.89844	497.25	1000.0	95999	27.944336	11.017546	65.711044	-34.86255	27.944063	11.01739	63.495846	-38.04164	-2.4973962	2.000028	22.202293	-16.633575	-28.39402	1.6820585	1.6932143	816.9716999530792
