Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-87.62128	99.242775	4.7784805	-490.46576	-341.10532	294.6679	-0.6576691	-743.8716	101.75	541.5	3999	3.7824957	4.802585	31.325752	-20.877197	3.7820826	4.8058767	31.325249	-20.857698	-3.108138	2.5003002	25.228193	-18.460035	-5.2240763	0.5088591	0.50045884	20.108755350112915
2	-211.10211	206.4695	-15.120878	-600.4807	-376.78473	429.4702	-24.425337	-1083.8833	314.33334	339.7	7999	21.185612	10.464286	59.249683	-19.41555	21.186298	10.465215	60.08692	-19.934769	-0.08651942	3.4184296	23.897831	-15.469831	-23.50094	1.3985158	1.3719666	49.049734115600586
3	-276.33075	314.74326	-14.947369	-1070.9226	-118.252846	114.78406	-15.963705	-399.52856	336.63635	471.6	11999	44.394165	9.395625	79.55838	-10.242908	44.3954	9.397006	79.21983	-9.321429	0.16686325	3.7678564	33.451256	-17.268505	-46.47238	2.2915123	2.2368402	79.51416492462158
4	-200.63239	234.08661	-11.168805	-751.823	290.56616	226.62718	653.59644	-26.945696	307.69232	757.9	15999	45.965466	9.144068	85.09474	-15.22544	45.9651	9.144359	83.764336	-14.126573	-1.9266564	2.648631	26.356293	-14.513668	-46.98489	2.3155503	2.314436	114.07892274856567
5	-255.93257	152.13937	-41.169434	-403.41718	427.79688	186.23253	718.01044	66.63643	725.8333	922.4	19999	40.084156	9.503301	76.11794	-20.197355	40.083714	9.502481	75.60974	-22.899563	-2.2843778	2.3500648	19.248182	-17.476553	-40.935898	1.9255029	1.9129645	150.5994622707367
6	-105.94018	99.01178	-3.9488087	-317.24014	638.39685	95.48028	766.9767	417.88782	242.55556	1000.0	23999	34.78998	9.782384	73.47913	-23.588274	34.790546	9.780655	69.91758	-22.432354	-2.486533	2.218683	16.306286	-14.167464	-35.520885	1.9482805	1.9473909	186.48776626586914
7	-118.89269	48.614014	-55.623913	-181.59096	473.21866	182.92479	707.4472	0.57587284	673.3333	908.0	27999	30.065636	10.0504055	64.35626	-27.507582	30.065878	10.048578	65.14531	-30.06756	-2.4467113	2.1897655	17.289627	-14.450163	-30.75059	1.9210862	1.9342014	220.31483101844788
8	-94.30216	44.98373	-27.245274	-148.82129	522.5651	273.13336	751.7045	-21.926764	479.42856	819.3	31999	27.250027	10.146047	60.498615	-28.10844	27.249918	10.147221	59.441936	-28.844366	-2.4628146	2.1504996	14.410957	-15.067894	-27.910286	1.7752124	1.7665528	252.53784441947937
9	-115.145	58.49263	-25.990362	-200.35323	565.2343	68.91725	685.38684	472.01773	731.3333	1000.0	35999	25.472746	10.128349	61.769638	-31.837666	25.472862	10.129047	60.45973	-28.378536	-2.5238602	2.1024299	14.288642	-14.418283	-26.1018	1.6897527	1.6702732	287.0859622955322
10	-68.89106	40.953716	-24.628115	-146.7435	489.95987	182.2547	698.66766	200.35515	598.6667	1000.0	39999	24.430822	10.233333	56.54017	-32.38928	24.430855	10.234224	56.722084	-33.630657	-2.5411344	2.1084938	20.85884	-14.829915	-25.0265	1.6154833	1.6016693	322.9585700035095
11	-57.24009	64.878296	27.95299	-197.2495	577.2401	100.00462	729.553	349.26907	428.6	1000.0	43999	23.603195	10.4495535	62.504223	-43.24512	23.60377	10.4502325	57.534355	-45.89164	-2.5894432	2.0819223	16.546713	-16.981789	-24.172043	1.5904595	1.5790522	357.7545385360718
12	-140.52055	139.99023	-15.132214	-367.21118	441.81494	205.7609	670.856	-88.54264	713.0	1000.0	47999	22.534744	11.132967	60.453415	-30.143951	22.534647	11.133878	61.078644	-29.68696	-2.5554316	2.0472045	16.109423	-14.028299	-23.070705	1.6851666	1.6768272	392.6781237125397
13	-18.085228	75.58149	37.773144	-184.25278	572.8265	191.30405	719.06824	18.655365	610.3333	906.8	51999	22.369757	11.703404	61.41551	-28.864267	22.36982	11.704057	61.63473	-30.78587	-2.5201776	2.0639668	14.277752	-14.531856	-22.900381	1.6527727	1.6469948	426.31295919418335
14	-28.432678	25.067963	12.5433445	-71.70952	618.2162	133.55467	872.2396	446.52167	573.5714	1000.0	55999	22.158384	11.978692	60.51367	-33.678967	22.158504	11.977578	58.1905	-33.467533	-2.557014	2.052317	16.04331	-15.596127	-22.655954	1.6291155	1.6393127	461.0366835594177
15	-100.411255	84.826584	1.0713636	-221.43472	592.4278	236.04828	761.3551	10.091334	713.1667	903.5	59999	21.907263	12.371751	57.692043	-33.699715	21.907997	12.370878	56.63161	-39.839504	-2.5846057	2.0477667	13.764121	-15.386215	-22.391844	1.6729165	1.6660862	494.0610475540161
16	-10.438289	53.187653	21.309963	-139.02095	510.61908	320.1762	780.4614	-217.62064	538.2857	1000.0	63999	21.88843	12.768064	58.631275	-38.43801	21.88863	12.768867	58.017376	-37.317432	-2.638559	2.034187	14.961957	-13.902211	-22.351814	1.6492627	1.6379097	528.9898056983948
17	-59.104816	65.28118	45.978218	-126.81708	679.11536	99.56091	839.31396	507.2037	865.6	1000.0	67999	21.854626	13.250327	55.736374	-43.530502	21.854822	13.250151	55.449364	-40.615715	-2.6336753	2.031764	13.1998005	-14.388659	-22.321312	1.6408002	1.6400299	564.2752780914307
18	5.4283943	43.683937	101.6621	-68.19264	491.76968	363.0201	789.16516	-259.91833	403.1111	1000.0	71999	21.60214	13.854121	56.466957	-36.920006	21.60272	13.853462	55.769848	-42.504528	-2.6347225	2.0162609	12.411929	-14.347761	-22.051437	1.6771047	1.670198	599.0978226661682
19	5.6208954	68.4922	89.67897	-120.4967	692.30945	54.713043	779.32477	604.90814	680.1667	1000.0	75999	21.739737	14.407763	52.11484	-37.559444	21.740427	14.406105	56.325623	-41.91478	-2.6528254	1.9969288	16.240545	-16.586174	-22.179867	1.6881112	1.7013032	634.0800023078918
20	-29.48817	58.536472	40.891457	-128.51187	571.21124	121.51795	748.9236	379.64346	835.4	1000.0	79999	21.890913	14.840729	52.89177	-36.753273	21.89094	14.839954	56.3311	-38.86074	-2.6660445	1.976996	14.38615	-15.553314	-22.322563	1.6431055	1.6616697	669.7841029167175
21	4.996626	58.325127	95.80839	-63.9694	699.89984	127.844574	890.61774	463.05228	822.25	1000.0	83999	22.393707	15.358271	56.593372	-37.10644	22.394445	15.354629	56.916744	-38.19244	-2.6551902	1.9868424	20.046457	-16.092197	-22.824368	1.6495105	1.6759012	704.6333909034729
22	-16.498262	47.80634	74.2995	-74.995476	646.2208	74.45295	758.09064	519.6656	701.2857	1000.0	87999	23.473822	15.677631	57.47441	-34.004993	23.474628	15.675293	58.526287	-32.769485	-2.6868098	1.9908384	14.977715	-14.903221	-23.913462	1.5857325	1.6017754	739.5216598510742
23	7.920801	71.595795	108.11431	-104.973656	760.97986	63.100243	913.43616	676.80865	394.66666	1000.0	91999	23.897743	15.962471	61.688316	-40.666344	23.898352	15.961057	61.531807	-38.00874	-2.6966293	1.9955741	14.05356	-17.108774	-24.314407	1.653345	1.6732138	774.1124820709229
24	72.86655	70.72971	136.82022	-69.52787	729.4177	237.12871	927.90173	39.875298	648.3333	902.9	95999	24.350517	16.190687	59.65366	-36.925205	24.35132	16.18829	59.748257	-35.791485	-2.6927016	1.9923122	15.187156	-15.450221	-24.76589	1.6421525	1.6514194	807.3819959163666
25	28.972176	39.88625	70.11278	-36.402294	577.8926	232.07141	845.3799	2.7863414	694.0	901.3	99999	24.780476	16.377714	63.809425	-36.70187	24.78127	16.376333	62.573956	-35.888348	-2.6976223	1.9981891	13.32593	-14.359862	-25.193958	1.638629	1.6375628	840.6917188167572
26	-6.130027	90.398506	82.00836	-207.44206	591.21814	282.90002	837.12445	24.250113	507.7143	812.2	103999	25.05784	16.502253	61.13997	-35.588295	25.058382	16.500534	61.864742	-36.038177	-2.718774	1.9870715	13.844976	-15.243252	-25.45527	1.6424863	1.6530035	872.8165411949158
27	-23.733294	121.776764	116.46729	-295.33893	667.1443	92.8923	801.5704	526.33606	621.2857	1000.0	107999	25.266655	16.531984	60.855022	-31.835117	25.267025	16.531672	59.289707	-35.176884	-2.7069387	1.976205	15.001621	-14.856942	-25.676754	1.6534524	1.6593838	907.7693672180176
28	30.446133	34.6948	84.706726	-29.840096	656.0235	249.1354	887.47375	37.878197	412.7	904.1	111999	25.477692	16.681917	59.280563	-34.894085	25.477997	16.680298	59.59998	-36.20809	-2.721791	1.9711123	13.577396	-15.008184	-25.880074	1.6641049	1.6790419	941.1684281826019
29	30.757162	100.861206	147.8411	-150.28058	584.54504	288.6196	878.1663	-37.6373	688.4	902.6	115999	26.10095	16.8253	57.73603	-34.519283	26.10175	16.823698	58.812675	-34.443478	-2.745974	1.9644524	13.237106	-14.622341	-26.508915	1.6364484	1.6435848	974.5871052742004
30	54.762035	57.273766	174.66698	-5.5002565	677.95044	89.28268	829.7647	522.91565	794.8333	1000.0	119999	26.825727	16.888418	59.485302	-33.70801	26.826038	16.887764	60.173134	-33.11744	-2.7713232	1.9626378	18.188246	-15.252172	-27.234997	1.6136081	1.6153599	1010.1080195903778
31	65.305336	40.594044	138.63591	-1.294661	655.2318	228.85983	822.9843	3.1305356	426.125	901.6	123999	27.282198	16.787739	59.397133	-31.210844	27.282623	16.78623	61.978016	-37.533867	-2.767717	1.9607604	14.2284775	-14.498601	-27.687801	1.6096785	1.6220398	1043.9158072471619
32	40.579693	79.08725	152.59242	-110.62805	671.1463	92.35523	804.8184	548.19556	504.77777	1000.0	127999	27.905487	16.749603	59.877	-30.381771	27.905775	16.748676	61.533855	-31.185932	-2.7754874	1.948996	14.204725	-15.650253	-28.308414	1.6174022	1.6317009	1079.2757437229156
33	95.91855	36.446762	144.02826	44.864105	629.4814	228.81662	813.3674	6.381411	681.1667	901.5	131999	28.479233	16.596193	62.91889	-32.98935	28.478783	16.596457	64.79726	-32.232887	-2.7949924	1.953061	12.578203	-15.125645	-28.881538	1.5718808	1.57642	1113.2974362373352
34	83.65906	16.402452	110.556404	61.538013	726.2473	111.90806	922.2656	540.6377	519.7143	1000.0	135999	29.257263	16.34792	63.127567	-30.697834	29.2579	16.3457	64.602745	-30.784752	-2.8246453	1.9367684	14.987132	-14.761204	-29.660534	1.5391929	1.5594699	1148.3112802505493
35	54.046326	64.9075	182.9082	-18.450672	734.1388	91.89991	822.50226	575.3964	748.6667	1000.0	139999	29.644094	16.21839	62.36793	-29.720919	29.644033	16.217691	61.32348	-30.44993	-2.813155	1.9429623	13.13381	-14.940346	-30.042027	1.5766019	1.5860091	1183.8698935508728
36	43.757454	59.343845	117.78994	-57.34732	769.829	52.309723	872.47205	694.4396	549.5714	1000.0	143999	29.748203	16.072243	62.934032	-32.05547	29.748505	16.071836	62.212944	-31.676317	-2.822692	1.9561363	15.794716	-16.301603	-30.149555	1.6156014	1.6159751	1218.5881233215332
37	64.42471	52.86664	131.23653	-22.582472	747.83624	134.61858	962.55566	429.70044	676.5	1000.0	147999	30.034002	15.930849	62.237007	-29.983055	30.034632	15.930056	63.563488	-30.817984	-2.831262	1.9500465	15.118736	-16.268093	-30.433996	1.6153646	1.6246564	1253.9587724208832
38	38.63158	54.957176	140.04468	-2.0938888	610.99554	278.57065	942.17413	105.62527	803.6	1000.0	151999	30.647764	15.57422	64.53267	-25.044939	30.647787	15.574036	63.73644	-29.053728	-2.83383	1.9646966	13.158317	-14.119717	-31.049992	1.6036265	1.6026657	1289.0932960510254
39	81.254265	35.93393	127.48159	25.001251	755.90295	149.58553	864.88525	325.73947	697.4	1000.0	155999	31.152527	15.168114	65.72277	-34.411392	31.1524	15.167522	67.43053	-26.3445	-2.8366315	1.9720664	15.821024	-15.190565	-31.564009	1.6039174	1.6119734	1324.4309504032135
40	17.175121	96.984764	91.11409	-173.7223	629.4892	221.16241	812.46674	42.556282	786.2	904.6	159999	31.954908	14.80817	65.46771	-36.84189	31.954517	14.807953	66.885925	-25.541618	-2.8491948	1.9914968	14.84382	-16.555506	-32.37412	1.613856	1.6128919	1358.85107254982
41	24.37137	78.435326	153.3226	-115.19028	753.0282	85.9437	867.91583	627.7648	654.1429	1000.0	163999	32.37993	14.612047	67.33252	-27.845865	32.380787	14.610625	64.34273	-22.80966	-2.8401806	1.9983568	17.257778	-14.615755	-32.788235	1.6493195	1.6520908	1394.4287934303284
42	39.314014	56.120403	125.147545	-23.374376	669.99817	283.60672	896.7378	-30.78653	883.0	1000.0	167999	32.724922	14.532997	64.79554	-27.463722	32.724804	14.533573	64.47376	-27.64508	-2.8586671	1.9952395	27.535892	-15.92163	-33.13441	1.6654241	1.6656023	1429.4326350688934
43	67.12722	34.961926	122.81234	15.234432	770.38214	144.84152	909.6985	469.48492	903.4	1000.0	171999	33.097927	14.360869	64.77718	-28.37461	33.09807	14.36073	64.7103	-28.233534	-2.9000227	1.9729493	17.171492	-15.917945	-33.510117	1.6494492	1.6446525	1464.6808054447174
44	53.32283	77.06815	144.7004	-34.89369	714.9147	46.62047	821.9777	643.5789	1000.0	1000.0	175999	33.54454	14.305601	68.20648	-35.307487	33.54423	14.305982	67.211464	-31.49741	-2.8825347	1.9885598	17.75296	-16.490503	-33.956165	1.7009648	1.7053679	1499.5600497722626
45	127.631546	62.631577	209.99194	66.0936	732.74207	146.61482	852.6494	342.60825	772.4	1000.0	179999	33.98062	14.045069	70.969	-36.062595	33.98099	14.043842	66.120575	-30.80988	-2.8680592	2.010786	15.108254	-15.964759	-34.400234	1.6884761	1.6892691	1534.6495251655579
