Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-138.16905	137.10728	5.9807596	-541.8675	-258.91306	138.6823	-41.750046	-542.61755	162.79167	1000.0	3999	4.2319627	5.812623	36.198376	-26.484385	4.2321014	5.8144517	36.006676	-26.329912	-2.8564398	2.6304715	18.92331	-13.981866	-5.7930174	0.60579073	0.5948238	32.0339298248291
2	-85.79208	108.77746	5.754953	-622.61273	-405.70734	406.3077	-10.119646	-965.1704	92.361115	438.1	7999	24.83452	12.743372	85.636635	-30.555506	24.834242	12.746495	86.67937	-32.60412	1.077441	3.8074608	26.92041	-15.459834	-27.789503	2.6912184	2.627186	60.906678676605225
3	-142.85938	176.361	-2.9724777	-778.59064	-207.8029	272.1706	-12.012948	-750.8401	143.9375	417.5	11999	62.005344	15.176213	131.49857	-15.049415	62.00743	15.170353	130.98132	-19.706358	2.807368	4.540979	36.067307	-14.681937	-65.44411	6.3975744	6.339003	90.12416982650757
4	-199.68094	228.23137	-14.929924	-672.73193	292.24487	248.78986	610.6117	-89.13257	295.07144	836.7	15999	67.60954	12.606102	128.73337	-31.641665	67.61191	12.600644	126.57709	-27.685745	-0.2284157	3.2037148	28.529484	-15.407125	-69.07447	5.106549	5.038549	126.25013303756714
5	-177.11823	162.12859	-12.997331	-475.08057	431.20062	257.77402	708.9565	-30.539862	357.63635	805.2	19999	57.10555	12.500735	121.06107	-29.424557	57.105434	12.500129	118.91025	-29.376297	-1.2196552	2.7123032	23.06407	-16.728256	-58.083946	3.7637525	3.7688634	162.3197557926178
6	-144.97556	161.8652	2.4975486	-619.2049	624.3209	216.15604	852.4232	112.07777	359.18182	921.9	23999	45.999233	12.151198	99.18525	-29.879707	45.9987	12.153115	99.46561	-28.923006	-1.7600843	2.3939528	21.124136	-18.720387	-46.803577	2.8243809	2.8096542	199.98899149894714
7	-84.50142	55.083958	3.3193326	-147.42815	632.10815	129.89734	815.7329	452.44095	821.8	1000.0	27999	36.995934	11.4315	77.72906	-32.730923	36.99555	11.43546	79.29873	-35.441315	-2.0121005	2.222821	18.529795	-15.31071	-37.756798	2.2395346	2.2079039	238.05192589759827
8	-76.431305	78.59556	10.002113	-252.04236	529.4172	201.93864	751.10657	39.404873	429.8889	906.9	31999	31.535685	11.022265	68.07216	-37.14401	31.535112	11.026466	65.95053	-40.791138	-2.213075	2.1046176	17.162598	-14.835572	-32.24826	1.8910325	1.8496077	274.16582465171814
9	-81.97862	95.178764	45.875687	-291.75458	585.37067	59.89227	685.4725	477.4827	427.125	1000.0	35999	26.999237	11.141082	61.025208	-35.436836	26.998554	11.145969	61.820175	-36.732346	-2.293338	2.0616481	18.928158	-14.4395895	-27.666847	1.8221612	1.8084577	310.08387780189514
10	-57.350918	69.43022	-0.7881918	-199.93887	563.79944	126.40444	743.1539	291.60187	609.8571	1000.0	39999	23.996002	11.629834	59.954556	-33.775074	23.995182	11.633689	60.548748	-42.051414	-2.3250613	2.0165253	20.942791	-14.673097	-24.624891	1.7921885	1.761878	354.6762864589691
