Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
29	-9.445654	2.3590703	-4.292321	-17.256674	-5.0959644	1.9132617	-1.9846922	-9.126896	15.0	15.0	115999	-2.3814745	2.0342777	1.5423195	-14.047203	2.021874	0.13275342	171.17314291000366
30	-9.560023	2.276793	-4.4572325	-15.978063	-5.541061	2.0002496	-2.8365972	-8.30202	15.0	15.0	119999	-2.3476985	2.00796	2.165836	-14.353606	1.9925108	0.12909026	177.29205560684204
31	-9.338186	2.3222678	-4.4150815	-16.657587	-6.83174	2.2184901	-3.166177	-10.238806	15.0	15.0	123999	-2.3425565	2.0096123	1.5337687	-14.336877	1.9933063	0.12658986	183.30209112167358
32	-9.454535	2.366064	-4.578792	-17.69973	-5.7951307	1.5085211	-3.6549335	-8.858291	15.0	15.0	127999	-2.3401206	1.9956704	0.82130855	-13.967205	1.9938806	0.12614812	189.3109531402588
33	-9.408701	2.4683764	-4.1374803	-15.68082	-6.4355173	2.4799037	-2.6375744	-9.690701	15.0	15.0	131999	-2.3256807	1.9888082	1.0905797	-14.489519	1.9818457	0.12820044	195.32992005348206
34	-8.981491	2.4012167	-4.2080255	-18.65075	-5.597442	2.0670245	-3.1527703	-8.723764	15.0	15.0	135999	-2.2802582	1.9749035	0.8739851	-14.001341	1.9385341	0.117206335	201.33316230773926
35	-9.138107	2.2216263	-4.847572	-15.554236	-4.8925486	1.653356	-2.3266165	-8.062727	15.0	15.0	139999	-2.2637596	1.9634942	1.6871164	-14.16844	1.9252852	0.12148111	207.35666418075562
36	-9.305921	2.3816524	-3.7884295	-14.768972	-5.0216837	2.248856	-2.1384778	-10.114815	15.0	15.0	143999	-2.234324	1.9585123	1.5091758	-14.0702915	1.899131	0.11571786	213.38221430778503
37	-9.464042	2.3316207	-3.9781034	-15.443161	-6.0644636	2.3298905	-2.574114	-9.29618	15.0	15.0	147999	-2.2232015	1.9657147	0.8900125	-13.59756	1.8883718	0.11508365	219.38559222221375
38	-9.457586	2.457308	-3.8516262	-15.440212	-7.297887	1.7721835	-3.6853187	-9.733371	15.0	15.0	151999	-2.1949418	1.9417	1.4020916	-14.298749	1.8643049	0.11176146	225.41923069953918
39	-9.463947	2.304377	-5.23932	-19.77683	-6.569477	1.6661882	-4.329847	-9.96279	15.0	15.0	155999	-2.193199	1.9321773	2.635115	-14.158435	1.8648794	0.11085725	231.43480920791626
40	-9.256129	2.3970673	-3.6760395	-18.977434	-5.765272	1.4476247	-3.8046906	-8.083522	15.0	15.0	159999	-2.18125	1.9325156	0.593312	-13.959028	1.8534278	0.11030781	237.5720193386078
41	-9.164832	2.4687893	-3.9884102	-15.451315	-6.64438	1.6536628	-3.7873285	-8.796937	15.0	15.0	163999	-2.168903	1.9193406	2.1541815	-14.181449	1.8438355	0.1100827	243.5886788368225
42	-9.615508	2.490436	-4.5591054	-16.9941	-6.438006	2.70236	-2.6054013	-10.250929	15.0	15.0	167999	-2.1598773	1.9164613	4.4649277	-13.780204	1.8376516	0.11104102	249.58546257019043
43	-9.413066	2.4229279	-3.5741665	-14.948207	-6.236228	2.0733593	-3.5864499	-9.804855	15.0	15.0	171999	-2.1201622	1.9160212	1.5146881	-13.560862	1.7940935	0.106355816	255.59870219230652
44	-9.292642	2.350125	-3.9080582	-14.93889	-5.620805	2.3121867	-3.3294132	-9.695004	15.0	15.0	175999	-2.0980582	1.9079471	2.5444338	-13.765755	1.7757921	0.10150737	261.5971658229828
45	-9.02553	2.347199	-4.5500917	-15.220773	-5.8878736	1.7788498	-2.6976063	-8.370969	15.0	15.0	179999	-2.1061616	1.8950375	1.6940109	-13.831352	1.7859875	0.10510706	267.6121530532837
