Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-160.33447	227.2912	-5.987273	-1264.9325	-267.29422	406.31058	-18.115114	-1154.834	104.80645	239.7	3999	2.8022032	5.616261	34.42202	-24.938715	2.8024347	5.6147876	33.50037	-24.70225	-4.833569	2.979436	21.007889	-17.353203	-5.0011997	0.50218767	0.50691295	37.89417815208435
2	-232.05014	271.60376	-33.203648	-1220.0919	-402.95667	743.23413	-47.395145	-2614.114	156.4	135.8	7999	21.878342	12.522438	90.70748	-22.52037	21.87653	12.519373	89.2243	-21.865656	0.0020874317	4.818161	36.458927	-17.324535	-25.58682	2.0482678	2.0912845	89.36601042747498
3	-253.95107	184.97565	-85.06346	-1032.1007	-530.2567	644.8804	-47.183887	-1824.0719	111.48572	289.9	11999	85.84892	29.45234	193.87071	-37.740124	85.8522	29.448622	195.60365	-24.426205	7.017566	6.872334	54.447426	-18.784992	-92.790764	14.627883	14.478329	146.1203625202179
4	-322.96164	355.7138	-45.184586	-1613.9396	-460.52155	228.22328	-154.70207	-918.94604	159.61905	609.5	15999	101.22048	17.84399	166.10045	-33.914345	101.22158	17.828	164.47095	-29.339352	0.9135307	4.894385	43.383446	-18.011114	-103.64893	13.22464	13.368486	208.21779680252075
5	-794.2378	476.23254	-206.96791	-1279.5023	-80.9713	114.753	188.57475	-261.0211	636.7143	692.8	19999	74.48495	18.359575	136.45175	-39.26714	74.48456	18.356787	137.57207	-38.81296	-1.6620578	3.7385762	32.103462	-18.76456	-76.107315	5.713583	5.789962	272.1979658603668
6	-488.65686	363.3134	-128.5621	-1232.9558	310.07794	195.5423	711.1326	25.491386	463.55554	907.8	23999	51.990067	16.761482	119.56866	-30.320345	51.989697	16.759933	120.598045	-28.018667	-3.2723606	3.0298393	28.065474	-18.748243	-53.288082	3.7895215	3.8370547	337.677734375
7	-265.21945	225.40718	-33.019684	-800.25275	508.47305	111.1695	594.8262	236.28427	295.30768	1000.0	27999	34.900192	14.667767	99.49576	-28.217913	34.899487	14.670993	96.60384	-30.971615	-3.970532	2.6554139	24.77602	-17.366863	-36.08801	3.0315719	3.0268881	403.9702742099762
8	-412.9006	229.47372	-63.19878	-649.007	428.51068	158.48235	642.6426	17.111258	592.0	903.1	31999	22.966312	12.903673	78.32231	-39.02259	22.966618	12.90254	77.59535	-36.84024	-4.1269317	2.512452	20.363663	-19.770102	-24.132586	2.7156823	2.7410207	467.50365805625916
9	-292.1554	225.12857	-12.205183	-630.662	477.60443	200.5591	714.0205	146.04283	520.2857	1000.0	35999	15.00367	11.356988	63.535305	-44.243008	15.002756	11.3563175	63.799164	-50.964153	-4.155109	2.4727864	20.068834	-17.948015	-16.149212	2.4234068	2.4453158	534.8062074184418
10	-391.5137	226.06319	-38.027752	-570.1174	428.92023	199.93048	629.6619	-11.781453	656.1667	1000.0	39999	10.35685	10.354784	54.864933	-56.613873	10.355482	10.354719	58.819565	-56.26722	-4.2448835	2.4407437	17.442507	-17.726324	-11.479823	2.2299843	2.2400162	602.062902212143
11	-533.1644	188.44608	-326.4244	-875.2079	447.01398	93.87009	653.21954	301.5537	796.2	1000.0	43999	7.469095	9.708847	50.021824	-55.301857	7.46639	9.711757	48.379723	-64.459366	-4.368415	2.4191062	20.286404	-17.06543	-8.523322	2.2533317	2.241009	669.3945002555847
12	-422.40625	316.51645	-77.780914	-1009.2303	362.7254	213.67062	770.1163	26.302382	557.2857	1000.0	47999	5.126455	9.349249	41.074013	-55.911537	5.124562	9.348284	41.993153	-54.387325	-4.4175696	2.4033566	19.692905	-17.53672	-6.141845	2.3188825	2.3262444	737.1298158168793
13	-365.79462	270.77777	-46.017944	-847.03204	490.01782	215.54639	814.4614	70.04133	446.8	1000.0	51999	2.8422627	9.589666	37.544735	-59.293053	2.8396537	9.590007	36.763138	-59.561497	-4.357184	2.3852684	20.739662	-18.089874	-3.805784	2.582513	2.5868232	806.2610640525818
14	-429.90753	232.24396	-60.50523	-659.038	417.86905	135.92804	645.64185	159.27658	674.2	1000.0	55999	0.67596626	10.233463	34.881367	-66.65757	0.6736616	10.232337	33.94043	-67.06842	-4.22195	2.4038992	24.633844	-18.913431	-1.6071323	2.7609437	2.7666938	875.7956023216248
15	-436.7728	369.80777	-17.09524	-975.5363	477.2801	140.42502	701.72705	267.74588	588.5714	1000.0	59999	-0.755389	10.829357	35.388092	-66.23456	-0.7582517	10.832031	32.135437	-68.180855	-4.2182302	2.374221	20.004799	-18.634893	-0.13618787	2.8152514	2.789061	943.2729647159576
16	-251.44116	190.12923	-22.828543	-628.54016	409.1469	183.22832	603.77905	-35.68763	492.55554	1000.0	63999	-1.798131	11.442321	33.07432	-68.81995	-1.7988282	11.443314	32.752243	-71.87977	-4.1750307	2.369058	17.170835	-16.73047	0.9382104	2.8975723	2.9013667	1010.5605466365814
