Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-78.796524	103.04189	-2.0748577	-574.23486	-151.08315	107.040016	-23.200169	-337.9089	84.87234	810.9	3999	3.2938523	5.7514014	28.722258	-32.546883	3.2927587	5.7582207	29.663795	-32.707836	-2.6235092	2.7889183	35.630814	-15.402273	-4.8988776	0.6875517	0.6611544	52.73303747177124
2	-222.33278	231.66605	-5.4537625	-684.95825	-297.90582	352.60632	-4.4784145	-902.2487	343.72726	333.8	7999	22.734993	12.065645	72.23905	-28.269238	22.73599	12.067587	74.14543	-28.093668	0.82330495	3.7493472	25.73656	-14.769442	-25.520275	1.8530753	1.8073531	107.20521283149719
3	-169.23619	240.86407	7.7632585	-1051.7637	-150.75967	167.80173	-6.072593	-551.81	176.52632	360.3	11999	55.337326	13.39291	110.7402	-20.021152	55.338615	13.396052	111.51663	-17.856466	1.9949981	4.2580543	39.463356	-14.712445	-58.257343	4.751499	4.625123	161.3486247062683
4	-307.39435	323.8446	-2.7325752	-875.8919	190.58199	261.09357	606.95624	-241.76053	470.6	818.4	15999	60.82325	12.920651	110.814606	-18.851273	60.82395	12.930668	110.70112	-27.79792	-0.3979873	3.177779	27.138548	-14.75509	-62.2365	4.222201	4.1109347	224.23554801940918
5	-138.10902	134.29591	-10.531853	-431.56067	417.4955	268.3974	748.8518	-145.60738	292.53845	1000.0	19999	52.63176	12.820412	99.76702	-21.879457	52.629776	12.835311	99.42679	-19.357157	-1.2519811	2.7271283	21.940804	-16.033035	-53.62654	3.4984658	3.400756	290.044282913208
6	-111.26094	74.14855	8.218286	-190.6169	385.9063	104.8274	572.5745	266.10602	622.8571	1000.0	23999	43.805965	11.6125555	81.16282	-21.359697	43.80488	11.621751	80.35622	-32.60937	-1.7188873	2.431025	19.81371	-15.917792	-44.655186	2.4251423	2.3754036	357.4163489341736
7	-82.75667	104.37084	-9.575484	-325.40146	500.1739	125.88399	677.8648	245.79295	375.0	1000.0	27999	37.38214	11.080891	73.71899	-25.540514	37.382423	11.082645	72.60363	-18.341965	-2.0382266	2.224287	21.120428	-15.887214	-38.119907	2.176138	2.1405232	424.9287886619568
8	-132.82677	163.09612	-1.5081203	-489.27206	635.0414	134.0976	807.3705	327.84805	692.1667	1000.0	31999	32.38003	10.954487	69.17367	-23.33352	32.379993	10.957039	68.61603	-24.101852	-2.1573868	2.1189954	26.220974	-15.172014	-33.069553	1.989936	1.9649366	492.6926918029785
9	-38.457073	86.35655	79.6389	-164.35687	540.8645	297.94275	844.6521	21.388403	1000.0	905.1	35999	29.11681	10.451486	63.64194	-22.682714	29.116697	10.455734	63.92417	-25.269485	-2.2580218	2.0625904	17.70789	-15.586187	-29.7843	1.7286699	1.6871186	559.5749461650848
10	-30.357924	65.109505	56.61935	-106.794075	701.90247	87.66224	794.24316	528.2799	606.6667	1000.0	39999	27.753937	10.305782	63.92151	-21.325	27.7541	10.310857	62.759605	-22.48938	-2.27884	2.0255287	15.835351	-13.977789	-28.408192	1.6614362	1.6213977	628.5140001773834
