Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-97.15552	133.8559	-7.256443	-577.568	104.55568	202.42271	531.0295	-122.05421	137.34483	728.9	3999	3.5119963	4.439589	24.020763	-26.340685	3.5122032	4.44029	23.546846	-26.25056	-3.49972	2.2031732	19.823103	-17.46913	-4.8602996	0.41156316	0.41501805	15.872225999832153
2	-96.594154	132.91235	6.4639554	-602.22656	-396.91144	393.15524	-13.591033	-1016.5085	122.80645	450.7	7999	16.948406	9.212049	63.917606	-26.089108	16.948639	9.209944	63.595795	-25.5672	-0.84976876	3.1382306	23.024597	-16.159737	-19.060818	1.4032478	1.4175752	41.232136964797974
3	-181.62988	224.00305	-12.599303	-938.7744	-11.035696	157.54	382.67987	-223.24391	195.36842	554.0	11999	42.353466	11.530099	90.568306	-14.586477	42.35355	11.532729	91.51038	-16.32974	0.6519199	3.7231889	30.35579	-14.582191	-44.78493	3.1892533	3.144212	78.37936544418335
4	-262.98724	202.10837	-51.02637	-610.16376	178.35068	227.96992	584.78314	-55.705376	518.2857	760.6	15999	46.398327	10.195188	92.50364	-27.68292	46.399296	10.200894	92.27348	-32.619278	-1.191605	2.791183	21.828766	-14.651152	-47.588837	2.997859	2.9303408	122.96908378601074
5	-203.2915	141.94351	-8.63187	-388.97223	324.19455	218.59822	694.8969	0.03961436	566.875	859.0	19999	42.221584	9.05551	85.71236	-28.442432	42.22197	9.05372	86.66635	-21.997095	-1.6961277	2.5368578	21.748796	-17.904472	-43.189762	2.219206	2.2168663	168.42576384544373
6	-165.59204	86.40068	-47.715977	-295.62314	512.77026	204.08708	682.0932	74.58269	415.33334	920.3	23999	36.506096	8.229091	79.582344	-23.984451	36.505863	8.230873	77.673546	-24.10447	-2.2250347	2.2890213	18.846111	-17.606241	-37.257343	2.0013554	1.9693501	217.7780475616455
7	-101.04138	73.85567	-1.8643216	-228.1457	617.1383	170.75778	816.344	334.59692	413.63635	1000.0	27999	30.6354	8.242243	70.69128	-23.359943	30.635498	8.245284	69.55527	-22.289396	-2.4209871	2.1478155	19.468527	-15.335003	-31.311079	1.756395	1.7216744	265.5864052772522
8	-67.290436	58.796253	11.522686	-161.76913	654.88086	91.60722	825.70087	469.19366	403.0	1000.0	31999	26.454567	8.636211	66.2776	-36.70818	26.45503	8.634624	66.43628	-32.199898	-2.5372021	2.0318716	16.404825	-15.565865	-27.077932	1.688529	1.6892912	314.60565519332886
9	-62.47321	69.59728	5.2224236	-210.83257	564.7401	222.57428	796.76794	1.5426733	724.1667	902.8	35999	23.899357	9.202189	64.936844	-31.961908	23.899006	9.2043	65.24468	-29.975712	-2.5749886	2.006948	16.03308	-14.520696	-24.515285	1.5153862	1.5102625	361.33669805526733
10	-25.685026	78.90162	33.361095	-197.65846	631.8418	88.22126	792.46814	459.5304	662.1667	1000.0	39999	22.38464	9.210419	64.21437	-30.351742	22.38461	9.210611	62.59679	-30.873037	-2.6070821	1.9681176	12.437101	-15.65678	-22.972097	1.4028704	1.3986982	407.1304121017456
