Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-49.491768	4.4505653	-40.135277	-62.596813	60.0	-18.899343	9.475126	10.390153	-40.599396	112000	9.536743e-09	29.163952	-0.025862526	-4.1927013	1.409487	0.015068779	0.13875	51.0	34.148133754730225
28	-47.527363	4.245613	-36.867706	-56.22612	60.0	-19.277485	9.407417	9.94864	-42.737995	116000	9.536743e-09	24.844917	-0.027150664	-5.1969185	1.3251045	0.011161191	0.15875	79.0	35.518441915512085
29	-45.470055	4.1678104	-35.06947	-54.970444	60.0	-18.533667	9.299218	-2.5632138	-42.718292	120000	1.1920929e-08	23.458418	-0.00617787	-3.3207874	1.2445655	0.01237621	0.1415	2.0	36.62286972999573
30	-46.03344	4.265748	-36.873745	-56.19998	60.0	-17.630941	8.9178915	-3.105403	-38.99109	124000	-6.6757204e-09	19.96354	-0.028660322	-3.1449928	1.2744244	0.008678303	0.154	79.0	38.07016944885254
31	-43.792995	4.080076	-35.461212	-62.068504	60.0	-17.908476	8.916959	-2.32138	-39.590576	128000	-9.536743e-09	26.22752	-0.02745542	-5.0801888	1.1723814	0.010786835	0.155	79.0	39.3522686958313
32	-43.307404	4.389282	-33.99377	-56.751324	60.0	-17.49235	8.160637	-1.4002211	-36.047977	132000	-2.8610229e-08	22.867506	-0.026161753	-2.5004559	1.1283567	0.008121658	0.14425	79.0	40.62646722793579
33	-42.310932	4.207199	-32.917805	-52.119907	60.0	-17.106379	8.4640465	3.3687303	-35.634617	136000	0.0	17.851341	-0.0065482864	-2.1517248	1.0322942	0.0060749543	0.05325	2.0	41.73481607437134
34	-42.35199	3.6137726	-35.73308	-52.719574	60.0	-16.936028	7.957502	2.10675	-35.18882	140000	-2.861023e-09	18.803074	-0.017626708	-2.6276836	1.0276052	0.013415909	0.118	27.0	42.92269515991211
35	-41.256073	3.6960974	-34.11125	-51.628147	60.0	-16.741327	8.039637	0.936025	-37.23037	144000	2.2411346e-08	21.74127	-0.015508516	-3.31386	0.9896377	0.013716469	0.11325	17.0	44.10409092903137
36	-41.13678	3.765014	-34.448486	-52.509262	60.0	-16.087929	7.865407	-2.643363	-40.606182	148000	-4.7683715e-09	18.091246	-0.027639883	-3.4937687	0.9916091	0.010937572	0.15525	79.0	45.34664583206177
37	-40.69819	4.0396504	-31.57382	-47.890724	60.0	-16.048738	8.004011	0.17907816	-39.77945	152000	3.3378602e-09	24.267376	-0.01387245	-5.21756	0.9857252	0.014632157	0.138	14.0	46.495184898376465
38	-39.420578	3.9300835	-31.579418	-49.425415	60.0	-15.621519	7.847714	-3.3601396	-40.514515	156000	-1.9073487e-09	16.060843	-0.013710193	-2.5166721	0.8922415	0.01509153	0.14375	14.0	47.653987407684326
39	-39.34806	3.8788698	-32.75473	-50.109566	60.0	-15.704731	7.7609944	-2.2112763	-39.647926	160000	-1.4305115e-09	20.784864	-0.029489044	-4.188181	0.90897816	0.009511866	0.14925	79.0	48.90217995643616
40	-37.77792	4.2944026	-30.937698	-47.882732	60.0	-15.333453	7.44733	1.2943263	-32.497963	164000	-7.629395e-09	21.838285	-0.026771931	-5.2810116	0.8471066	0.008862608	0.14975	79.0	50.2596480846405
41	-37.620564	4.3516197	-29.638693	-50.516914	60.0	-15.166305	7.0617566	2.5860043	-31.040604	168000	-3.8146974e-09	18.215027	-0.025625467	-2.8615303	0.7649651	0.010674198	0.14425	79.0	51.56976127624512
42	-36.84795	3.8576984	-29.248434	-46.39522	60.0	-14.970129	6.9549007	-1.3135813	-30.693401	172000	2.5272369e-08	14.82242	-0.026363943	-2.0644445	0.74861777	0.013160992	0.1545	79.0	52.84078598022461
43	-35.726894	3.4587908	-28.725752	-43.9562	60.0	-14.480258	6.7249603	-1.4451122	-30.15871	176000	2.3841857e-09	18.901754	-0.016505223	-3.6736603	0.66188097	0.014335718	0.133	19.0	53.96650743484497
44	-35.31124	3.8521414	-25.032257	-42.741386	60.0	-14.134818	6.794422	-1.2162051	-37.558556	180000	-9.536744e-10	16.195475	-0.026030833	-1.855547	0.6520629	0.011589707	0.1495	79.0	55.22028613090515
45	-34.30324	3.6715968	-26.960081	-46.963047	60.0	-13.779692	6.8113213	-2.1538615	-28.701563	184000	2.6226044e-08	11.602565	-0.026310727	-1.4782543	0.56185293	0.011660049	0.163	79.0	56.50703477859497
46	-34.431213	3.3740497	-28.467546	-42.34239	60.0	-13.398123	6.693337	-1.3064077	-28.363426	188000	-8.5830685e-09	11.824659	-0.02266365	-1.4787121	0.5379839	0.014674993	0.15025	67.0	57.71737194061279
47	-33.086437	3.2581005	-25.714134	-40.016	60.0	-13.441082	6.6018972	-0.869414	-28.279764	192000	-5.722046e-09	13.935112	-0.026992217	-2.9295797	0.46570897	0.012690335	0.1635	79.0	59.007981300354004
48	-32.21051	3.615889	-24.690937	-42.304184	60.0	-12.999887	6.2275934	-1.2455292	-27.362417	196000	1.66893e-08	10.382789	-0.026188856	-1.6010199	0.4227815	0.009532697	0.14725	79.0	60.327545166015625
49	-31.550156	3.303315	-24.41199	-39.009747	60.0	-12.542584	6.382124	-0.96342576	-26.936674	200000	1.2874604e-08	10.507064	-0.0064769424	-1.4502478	0.36982113	0.0150691755	0.18275	2.0	61.526941776275635
50	-31.865145	3.1678336	-25.496214	-39.695763	60.0	-11.728952	6.29444	1.6248853	-26.28038	204000	2.9563903e-08	12.920076	-0.028812086	-3.2541857	0.39212683	0.013766128	0.171	79.0	62.982574224472046
51	-30.25467	3.544119	-24.064604	-41.43066	60.0	-12.206526	6.337113	-0.7650594	-27.65508	208000	-1.7166137e-08	11.829379	-0.0054529207	-2.5510368	0.27650487	0.009270589	0.147	2.0	64.14545750617981
52	-31.720566	4.0470123	-21.896902	-41.070705	60.0	-11.87223	6.092791	7.991625	-32.61869	212000	0.0	17.237597	-0.008410291	-5.766101	0.27072966	0.012282524	0.10775	5.0	65.32337832450867
53	-31.147556	3.9451454	-24.098715	-45.295208	60.0	-12.387868	5.898228	-0.38752872	-28.350243	216000	-5.722046e-09	13.949592	-0.028802305	-3.3694334	0.27376592	0.012028276	0.15325	79.0	66.64018511772156
54	-31.09297	3.58301	-23.716145	-39.90954	60.0	-11.962062	5.927452	-0.69295937	-26.496681	220000	2.5272369e-08	11.512064	-0.02802455	-1.7017069	0.24331906	0.011274738	0.17375	79.0	67.86947250366211
55	-30.456545	3.4158757	-24.070732	-36.852036	60.0	-12.062092	5.8870826	2.2871764	-26.468592	224000	2.9563903e-08	10.518059	-0.025813567	-1.3368721	0.18111794	0.008826217	0.15075	79.0	69.16833925247192
56	-29.357481	3.5052817	-23.032475	-38.67586	60.0	-11.898084	5.6350493	-1.2669384	-37.363346	228000	-9.536743e-09	10.307056	-0.02442501	-1.653326	0.13793917	0.013941675	0.15325	79.0	70.41236591339111
57	-28.553925	3.9381413	-19.61805	-36.38995	60.0	-11.5349045	5.4756165	0.45734337	-25.24286	232000	-1.1444092e-08	9.634123	-0.028352363	-1.8532915	0.028905578	0.010245573	0.1605	79.0	71.74711203575134
58	-28.849995	3.6084843	-21.618658	-38.043865	60.0	-11.030935	5.5042706	0.07125953	-25.16146	236000	5.722046e-09	9.434389	-0.0066037145	-1.3526115	-0.017488716	0.0076642088	0.05125	2.0	72.9271891117096
59	-27.767504	3.438375	-20.720736	-36.08196	60.0	-11.476796	5.2654614	-0.1956392	-24.851143	240000	1.9073486e-08	10.923267	-0.026248826	-2.9333496	-0.028509868	0.0078774635	0.15075	79.0	74.29784631729126
60	-28.220428	4.023805	-21.07817	-37.013187	60.0	-10.576094	5.5096416	9.479591	-25.97607	244000	-9.536744e-10	9.6254425	-0.024855677	-2.7610078	-0.059286293	0.01350604	0.144	62.0	75.75598692893982
61	-27.116627	3.2337723	-20.313845	-33.860382	60.0	-10.752296	5.6270037	0.22861701	-24.657457	248000	1.9073487e-09	6.156003	-0.007842453	-1.07234	-0.15144847	0.0062534893	0.058	2.0	76.94934225082397
62	-27.88902	3.534622	-19.604095	-37.13042	60.0	-10.506687	5.537928	2.2056694	-26.228415	252000	-2.2411346e-08	7.586667	-0.028554574	-1.326468	-0.1409418	0.012605796	0.18275	79.0	78.1604516506195
63	-26.532335	3.2785633	-19.896051	-33.59734	60.0	-10.576666	5.374449	0.14019704	-24.604584	256000	1.9073486e-08	7.0463133	-0.0083549665	-1.518642	-0.189802	0.008357535	0.07575	2.0	79.28722548484802
64	-26.52539	3.0394738	-21.325626	-34.029976	60.0	-10.177863	5.1927643	1.1714149	-24.036985	260000	9.536743e-09	6.546701	-0.029650154	-1.2332444	-0.1822413	0.011941918	0.17975	79.0	80.51052260398865
65	-25.805141	3.1752944	-19.69227	-32.911232	60.0	-10.454478	5.210615	0.47699454	-23.492365	264000	3.6239623e-08	6.7246103	-0.023255521	-1.6681056	-0.26326904	0.00893039	0.1415	79.0	81.83016324043274
66	-25.977137	3.7927172	-18.614994	-34.67517	60.0	-9.873035	5.165764	-0.6781229	-24.145496	268000	3.242493e-08	7.554598	-0.029466638	-1.5885777	-0.28415576	0.013535354	0.16775	79.0	83.09676122665405
67	-25.320946	2.987299	-18.854998	-32.971157	60.0	-10.115079	4.9919124	1.780873	-22.975536	272000	1.001358e-08	6.562207	-0.004433674	-1.3355694	-0.3491502	0.0033842803	0.011	2.0	84.24406743049622
68	-25.159546	3.505483	-18.065935	-34.3947	60.0	-9.889392	4.9255567	-0.020834535	-22.699684	276000	-1.66893e-08	6.570918	-0.024173578	-1.3705287	-0.32631642	0.010595423	0.1645	79.0	85.54177355766296
69	-24.559376	3.2464287	-18.737799	-32.82121	60.0	-9.669076	4.8673735	1.1682019	-23.299768	280000	1.7166137e-08	7.1133738	-0.024885839	-1.10181	-0.39503974	0.013829651	0.153	79.0	86.7904748916626
70	-25.43526	4.466827	-19.095737	-41.787792	60.0	-9.514835	5.1494055	4.5488286	-26.307032	284000	-3.242493e-08	10.104566	-0.020732785	-5.41563	-0.454146	0.014178351	0.14425	36.0	88.1957757472992
71	-24.66952	3.532342	-18.24023	-37.892887	60.0	-9.469663	4.9753804	-0.48408163	-27.547918	288000	-7.152557e-09	6.5763297	-0.028207758	-1.4408712	-0.485057	0.011471832	0.16925	79.0	89.45681500434875
72	-23.72447	3.411045	-17.30633	-30.804813	60.0	-9.311821	4.878109	0.4649686	-22.756584	292000	1.1444092e-08	4.879404	-0.029009463	-0.9600003	-0.5999491	0.009059514	0.17625	79.0	90.73109722137451
73	-23.874083	2.9545114	-17.57836	-29.828997	60.0	-9.127768	4.8688445	4.974663	-22.962513	296000	8.5830685e-09	6.476026	-0.027764466	-2.089404	-0.65500075	0.011579927	0.144	79.0	91.94964528083801
74	-23.862326	3.5622597	-16.514215	-32.514793	60.0	-9.08567	4.7458506	0.1232239	-29.863043	300000	-3.4332274e-08	6.956213	-0.009698658	-2.2273173	-0.6804297	0.01396121	0.12875	9.0	93.03629636764526
75	-23.31822	3.1982489	-17.68518	-30.904219	60.0	-9.050885	4.901535	0.69926393	-21.607166	304000	1.525879e-08	5.02288	-0.004900828	-1.8520184	-0.7442557	0.0031089068	0.02225	2.0	94.22279644012451
76	-23.07038	2.9710493	-17.830875	-29.867493	60.0	-9.035175	4.723818	0.1340948	-21.94545	308000	-3.8146972e-08	3.780145	-0.009190664	-0.8547509	-0.7090967	0.0070867455	0.08475	8.0	95.43994688987732
77	-22.672276	3.0517416	-17.514498	-30.202831	60.0	-8.394725	4.6752033	3.395966	-21.62485	312000	-1.0490417e-08	3.7094564	-0.028092487	-0.8015728	-0.71974087	0.012712323	0.17375	79.0	96.72161674499512
78	-22.889088	3.46371	-15.574369	-29.828697	60.0	-8.8297615	4.5227995	0.97251225	-21.585297	316000	1.0490417e-08	3.9396818	-0.026091728	-0.71908903	-0.7861463	0.0042515993	0.14525	79.0	97.98477458953857
79	-22.01347	2.9152198	-17.283712	-28.495493	60.0	-8.639461	4.6396656	-0.03743127	-21.68671	320000	1.9073487e-09	3.6496	-0.0027659053	-0.8340373	-0.86154747	-0.00034603826	0.0	2.0	99.0945611000061
80	-22.16978	3.2723002	-16.331818	-30.303883	60.0	-8.470533	4.3717403	3.6341076	-21.236404	324000	-1.9073486e-08	3.6018348	-0.0044820877	-0.8115573	-0.81758326	0.003818708	0.1075	1.0	100.36970162391663
81	-22.470057	3.0338001	-16.12684	-28.560913	60.0	-8.645603	4.5414176	0.794691	-22.042906	328000	-6.67572e-08	3.0000358	-0.0046972143	-0.54146457	-0.85190946	0.0043150852	0.043	1.0	101.54755973815918
82	-21.772697	3.2382295	-17.139763	-28.76035	60.0	-8.292333	4.3879957	1.0117948	-20.923939	332000	2.7179718e-08	3.192545	-0.026584422	-0.8483312	-0.8323706	0.011757887	0.17375	79.0	102.77729296684265
83	-22.041344	2.8618953	-15.957491	-27.37702	60.0	-8.500737	4.628781	0.27939934	-21.435822	336000	-2.193451e-08	2.9235816	-0.0036344447	-0.77464557	-0.90050364	0.0006056892	0.00025	2.0	103.923264503479
84	-22.007172	3.0082376	-16.866787	-28.88685	60.0	-8.213912	4.5134273	2.76402	-20.700138	340000	-3.671646e-08	2.5623875	-0.0037429647	-0.6527358	-0.89022887	0.010821577	0.15225	1.0	105.05230188369751
85	-21.900427	3.3132374	-16.097456	-29.725733	60.0	-8.578	4.32128	1.591947	-21.39867	344000	-6.6757204e-09	3.669812	-0.020955646	-1.110601	-0.90851074	0.010868277	0.1575	79.0	106.32683610916138
86	-21.859684	2.9963038	-16.998487	-28.717632	60.0	-8.4826	4.394283	0.8230375	-21.358343	348000	4.7683715e-09	2.5902588	-0.021215543	-0.45591307	-0.9566827	0.014189247	0.13875	49.0	107.57706809043884
87	-20.324652	3.1863332	-15.210429	-26.49287	60.0	-8.186728	4.377899	0.5753434	-20.98444	352000	4.4345857e-08	2.6068368	-0.025116622	-1.0747582	-1.0352877	0.012157131	0.18625	74.0	108.80031824111938
88	-21.851595	3.2654223	-15.460281	-28.927391	60.0	-8.093355	4.457689	0.3562314	-20.867092	356000	1.1920929e-08	1.7755045	-0.024341216	-0.56804717	-1.0559021	0.013581331	0.1515	74.0	110.02891826629639
89	-20.720407	3.2186728	-15.261869	-27.12159	60.0	-7.8733497	4.577156	0.7101355	-21.127728	360000	-2.4318695e-08	2.1421516	-0.005798448	-0.7253685	-1.1359118	0.0057437113	0.03625	2.0	111.15578937530518
90	-20.824064	3.318438	-14.593015	-27.477587	60.0	-7.8008714	4.3159103	0.56808835	-20.66026	364000	1.9073486e-08	1.8540896	-0.021134803	-0.38907397	-1.1436621	0.014477562	0.15125	41.0	112.50227284431458
91	-20.827265	3.0427976	-15.508624	-27.373146	60.0	-7.7739725	4.417289	1.0826406	-20.962675	368000	0.0	1.6546375	-0.016308505	-0.32907963	-1.1525669	0.0125504695	0.099	22.0	113.7025306224823
92	-20.759129	3.0078406	-15.972172	-28.534927	60.0	-8.150316	4.248259	0.5233269	-20.84154	372000	-5.1498414e-08	1.9778647	-0.0041410113	-0.5330254	-1.221967	0.004276253	0.042	2.0	114.83932995796204
93	-19.891172	4.2419367	-14.597595	-40.697304	60.0	-7.144997	4.522051	11.154015	-20.638025	376000	-1.525879e-08	11.378415	-0.002511353	-9.834348	-1.1898993	0.010214582	0.1	1.0	115.98367238044739
94	-19.764776	3.203973	-15.008767	-27.958805	60.0	-7.441501	4.271075	2.1150086	-23.14762	380000	2.5749207e-08	2.2045093	-0.02407161	-0.7572584	-1.219466	0.011910784	0.14775	46.0	117.12473177909851
95	-20.403502	2.5745294	-15.489179	-25.693268	60.0	-7.781833	4.316119	0.78063107	-20.05086	384000	-2.193451e-08	1.7879673	-0.023491804	-0.47907186	-1.292918	0.012167736	0.16825	79.0	118.38273429870605
96	-20.433146	3.2865434	-13.653302	-27.523888	60.0	-7.614031	4.3048377	1.6020004	-21.392603	388000	9.536744e-10	1.8900794	-0.024085913	-0.42976284	-1.301406	0.014246197	0.172	75.0	119.62162113189697
97	-20.04167	3.2546325	-14.408657	-27.420406	60.0	-7.5791216	4.1912885	4.8849096	-20.312256	392000	1.6212464e-08	2.4216518	-0.0026914654	-0.65735126	-1.3418721	0.0072358754	0.09775	6.0	120.77295017242432
98	-19.814445	3.4532619	-13.736231	-27.309267	60.0	-7.6162753	4.1422467	0.67707396	-20.312927	396000	1.0490417e-08	1.5141189	-0.0032246818	-0.40898907	-1.3191372	0.0038770228	0.02725	3.0	121.91260719299316
99	-19.202444	2.5330427	-14.249112	-24.646162	60.0	-7.1633883	4.057807	0.7878185	-19.656643	400000	-2.861023e-09	1.23212	-0.0037231094	-0.26579034	-1.3681716	0.009408568	0.1285	3.0	123.06378889083862
100	-20.030018	2.9981132	-14.581685	-28.191967	60.0	-7.452577	4.185615	0.51964664	-21.011604	404000	1.8119811e-08	1.5256667	-0.02423982	-0.33256853	-1.3592952	0.012677885	0.151	79.0	124.52992391586304
101	-19.718935	3.0739632	-14.650465	-25.993626	60.0	-7.510871	4.198007	-0.044415563	-20.459944	408000	3.4332274e-08	1.2762538	-0.021407034	-0.26849842	-1.4106417	0.009163365	0.15625	79.0	125.83764791488647
102	-19.252382	3.3591156	-13.8449745	-26.078794	60.0	-7.4025917	4.097101	0.6435007	-19.527365	412000	-3.194809e-08	1.5783955	-0.023523323	-0.5726304	-1.4718144	0.010751953	0.145	79.0	127.07191491127014
103	-18.663055	3.0651798	-13.366839	-24.896854	60.0	-7.050754	3.9721553	0.83759904	-19.88979	416000	1.9073486e-08	1.3010973	-0.02183102	-0.44339162	-1.5287734	0.012537272	0.1465	79.0	128.3154058456421
104	-19.272022	3.2212818	-13.019424	-26.780495	60.0	-7.182705	4.111983	1.5780034	-19.14481	420000	2.193451e-08	1.9065347	-0.021612827	-0.61554563	-1.5998149	0.0072095413	0.1105	79.0	129.49297642707825
105	-18.91844	3.1102452	-12.896273	-24.91366	60.0	-7.3090987	3.9694474	0.5521689	-19.493687	424000	2.9563903e-08	1.4640505	-0.007097521	-0.50568694	-1.6570344	0.0071291756	0.074	2.0	130.6829388141632
106	-18.710726	3.4305027	-13.414292	-25.82175	60.0	-6.806159	4.0689483	1.0976646	-19.621292	428000	-2.9087067e-08	1.3536927	-0.0021649161	-0.51128113	-1.6242732	0.0024032781	0.027	1.0	131.79058265686035
107	-18.726803	3.087257	-13.133258	-25.542364	60.0	-7.080691	3.9020371	0.97357976	-19.024654	432000	-1.0490417e-08	1.2620212	-0.0022380638	-0.33736396	-1.6322608	0.0057853926	0.07525	1.0	132.88306069374084
108	-18.881962	3.9247053	-13.411706	-36.597763	60.0	-7.2056956	3.9337418	3.9818907	-22.18354	436000	-1.9550324e-08	3.0356147	-0.0065413127	-1.8626629	-1.603574	0.009773534	0.08575	3.0	134.07129430770874
109	-17.987951	3.0287976	-13.20635	-24.312935	60.0	-6.851482	3.963298	0.62706184	-19.552004	440000	3.9100648e-08	0.9269252	-0.024611177	-0.26628518	-1.6446562	0.0111873625	0.15975	79.0	135.31727051734924
110	-17.978073	3.2821126	-12.884347	-24.634567	60.0	-6.89612	3.8663998	0.5395469	-20.050772	444000	1.8119811e-08	1.1762955	-0.004654389	-0.3898269	-1.7151747	0.0076370975	0.076	2.0	136.64144706726074
111	-18.214699	3.1805408	-13.412184	-26.246616	60.0	-6.6660233	3.91751	0.80270123	-18.878664	448000	2.2888184e-08	1.1215408	-0.0013010178	-0.29031777	-1.7386353	0.0017404006	0.0045	1.0	137.8155324459076
112	-18.547243	3.080407	-12.353779	-25.17538	60.0	-7.050003	3.850622	0.62552756	-19.343584	452000	1.1444092e-08	1.2571038	-0.0064555714	-0.2844705	-1.7155206	0.0064457543	0.0855	1.0	138.94692254066467
113	-18.943308	2.815965	-13.004404	-25.478745	60.0	-6.9754276	3.9477272	0.6089014	-19.334658	456000	3.7670137e-08	1.2892616	-0.00272014	-0.45468467	-1.696113	0.0064435815	0.05175	1.0	140.08438730239868
114	-18.192467	3.1472785	-12.818057	-24.21796	60.0	-6.9951963	3.8004148	2.8004115	-18.967186	460000	2.193451e-08	0.9961367	-0.0038528107	-0.33460408	-1.6997159	0.0016546722	0.02025	1.0	141.17488837242126
115	-18.41162	3.7258947	-12.775149	-32.276703	60.0	-6.915374	4.082892	4.1169004	-24.367027	464000	9.536744e-10	3.5866182	-0.004271468	-2.212617	-1.7093035	0.021851124	0.21825	1.0	142.36357593536377
116	-18.145662	2.7749162	-13.095615	-23.909555	60.0	-6.810376	3.9118063	0.27686167	-18.823908	468000	4.339218e-08	1.9589676	-0.023985578	-1.1553254	-1.7111924	0.014097294	0.17675	72.0	143.65228581428528
117	-17.937412	3.3343194	-12.805847	-25.131023	60.0	-6.6623516	3.826499	0.900447	-18.804195	472000	-3.7670137e-08	1.3608207	-0.019810313	-0.39893562	-1.7572087	0.010379662	0.1195	79.0	144.83067655563354
118	-18.005941	3.512317	-12.512985	-25.032673	60.0	-7.0250626	3.8972318	-0.109003335	-19.0658	476000	6.6757204e-09	1.229752	-0.0036360393	-0.42864317	-1.803968	0.0015813418	0.00525	2.0	145.92931199073792
119	-18.157934	2.75849	-13.589652	-24.817602	60.0	-6.994198	3.7962255	1.4780136	-19.134043	480000	-5.722046e-09	0.9428488	-0.005156053	-0.2679339	-1.8147779	0.0032123195	0.05525	1.0	147.1011130809784
