Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-232.79836	274.88712	-19.689959	-1349.0775	-198.88821	375.11655	-16.210146	-1302.6548	148.0	128.7	3999	3.423205	6.77886	39.389057	-31.22089	3.423726	6.777847	39.164013	-32.44621	-3.7422242	3.5210514	30.623215	-17.125776	-6.019105	0.58698386	0.59270734	21.542863368988037
2	-224.17366	252.31909	-11.749335	-1240.2908	-682.3784	1039.977	-56.225006	-2819.1174	151.18518	243.7	7999	35.28217	20.379505	132.45801	-25.21059	35.281803	20.387207	132.1995	-25.400242	2.7993886	5.766755	37.692753	-19.37593	-40.40944	3.600777	3.502265	52.44258093833923
3	-276.88718	466.78378	-14.247317	-2477.0745	-482.7481	565.22284	-98.14156	-2037.4589	138.15152	210.4	11999	134.56143	42.366604	270.95898	-62.3121	134.56018	42.371994	267.81647	-60.113274	10.61869	8.09325	79.120575	-19.49739	-143.65979	22.83992	23.068323	90.89435005187988
4	-256.61792	356.59247	-32.39707	-2023.6002	-511.7399	365.61646	-26.280231	-1031.446	114.28125	649.7	15999	159.42567	26.144182	250.85852	-67.393394	159.42381	26.144178	247.20203	-66.34012	2.4779215	5.7485304	64.50022	-18.43068	-162.37183	27.368969	27.799417	132.44861364364624
5	-435.6524	462.19125	-9.460495	-1315.2065	-323.15567	341.82455	195.76254	-1190.8585	312.2143	850.4	19999	126.9527	24.893698	230.96362	-60.822826	126.95254	24.882055	227.83322	-57.685165	-0.32253516	4.41974	46.01951	-17.881182	-128.9751	13.342941	13.582258	189.2124047279358
6	-403.1749	413.47748	-75.20942	-1174.84	-158.7189	127.25301	-24.49356	-481.6411	354.0	551.0	23999	94.47193	21.58175	188.59448	-53.177364	94.4724	21.570822	187.11049	-63.446495	-2.4572945	3.5819888	37.10589	-19.371048	-95.902985	6.8912673	7.0652146	251.79423069953918
7	-301.92514	316.95563	-38.560436	-955.65875	407.2001	141.63841	568.7579	91.3768	313.41666	1000.0	27999	66.90002	18.366867	149.63924	-59.29956	66.90003	18.36695	151.03566	-54.33543	-3.7652488	2.9547474	28.532406	-20.310108	-68.138405	4.585435	4.5881844	324.85436367988586
8	-339.60248	310.45123	-34.569386	-817.66766	526.6723	100.58696	651.59235	368.81467	431.8	1000.0	31999	46.813824	15.901153	118.198875	-44.614292	46.812984	15.90671	117.27191	-41.819008	-4.415808	2.5906415	22.912172	-20.84634	-48.025517	3.190817	3.1650617	395.44246649742126
9	-353.7973	214.29831	-102.14049	-673.0456	614.50964	113.958565	802.13776	450.60974	494.125	1000.0	35999	33.656178	14.292157	94.80509	-35.219135	33.655155	14.296256	95.34327	-35.140755	-4.679851	2.4118552	21.057068	-19.292778	-34.860977	2.6585233	2.6226358	464.38097047805786
10	-203.67172	167.14551	7.482878	-545.464	705.9877	102.8457	919.9587	550.8269	337.9091	1000.0	39999	24.53864	13.23741	81.52701	-41.070644	24.537798	13.239826	81.79089	-40.254333	-4.7271967	2.3033004	17.577278	-18.097788	-25.742168	2.3745527	2.3410141	532.226062297821
