Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-46.37058	4.303068	-36.910397	-57.48364	60.0	-18.161636	8.764384	-4.709326	-39.00891	112000	-9.536743e-09	21.083023	-0.004865032	-2.7431984	1.3058835	0.0075964867	0.05875	4.0	35.00387668609619
28	-45.219734	4.3549576	-35.343563	-58.188644	60.0	-17.958231	9.090493	-2.0084565	-43.02215	116000	2.0980835e-08	21.786833	-0.024344807	-1.7045479	1.2750217	0.006853629	0.1255	79.0	36.26689124107361
29	-43.197514	4.300258	-32.542923	-53.151478	60.0	-17.937048	8.532466	-4.472636	-37.456116	120000	5.722046e-09	22.034773	-0.025257338	-3.03648	1.19056	0.009134859	0.156	79.0	37.50799608230591
30	-42.86503	3.9360538	-34.5051	-50.74928	60.0	-16.816154	8.414797	-1.5207793	-36.11052	124000	7.629395e-09	17.696783	-0.0061486717	-2.0080805	1.1673634	0.009463758	0.0705	2.0	38.79858422279358
31	-42.735123	3.9461389	-35.25072	-58.483677	60.0	-17.06079	8.199448	-2.6438441	-36.309307	128000	1.4305115e-09	21.067865	-0.024882467	-5.4277353	1.1484004	0.00903344	0.14975	79.0	40.09776329994202
32	-42.646313	4.4092402	-34.671803	-54.417355	60.0	-16.74275	8.277751	-3.1727989	-34.809544	132000	-1.9073487e-09	18.172495	-0.027304392	-1.2675934	1.0886731	0.012794646	0.1505	79.0	41.32576656341553
33	-40.640358	4.0706205	-31.924015	-53.254948	60.0	-16.443441	8.44094	8.805785	-41.836353	136000	1.3351441e-08	16.78212	-0.010583003	-5.1112185	0.98157096	0.014422903	0.1965	6.0	42.45879912376404
34	-39.810177	4.124498	-30.675104	-50.915894	60.0	-16.079546	7.986771	-2.6151025	-33.98808	140000	-6.198883e-09	12.889871	-0.024233976	-1.0155468	0.9727279	0.010898678	0.13975	79.0	43.73084497451782
35	-39.036507	3.1964645	-31.261353	-46.614697	60.0	-15.734853	7.914469	-3.024297	-34.08362	144000	9.059906e-09	12.432453	-0.026369657	-1.2920942	0.8903955	0.013656685	0.1605	79.0	45.05295395851135
36	-37.50915	3.0363731	-31.195404	-48.04422	60.0	-15.612213	7.579261	-2.7589936	-32.163776	148000	-3.8146974e-09	11.326311	-0.025474472	-1.2374849	0.8330475	0.010838093	0.1465	79.0	46.24228882789612
37	-38.459698	4.1194634	-27.575514	-48.09418	60.0	-15.058853	7.8192034	-2.795237	-40.79328	152000	0.0	15.240892	-0.029501958	-2.1470861	0.8129596	0.012130957	0.175	79.0	47.562713384628296
38	-35.667202	3.2927642	-29.351187	-46.837105	60.0	-14.909958	7.4539046	-3.9845767	-30.954712	156000	3.004074e-08	10.395733	-0.025430188	-1.8334827	0.66239417	0.013047688	0.15	79.0	48.83518433570862
39	-34.494987	3.4321063	-26.749662	-42.15409	60.0	-14.139061	7.2196674	-2.566079	-39.471252	160000	-1.66893e-08	12.389673	-0.02348073	-1.5966253	0.616297	0.007752532	0.15025	79.0	50.08584117889404
40	-33.27788	3.4292178	-26.25921	-41.46202	60.0	-13.508308	6.709628	-3.5839317	-29.638912	164000	-9.536743e-09	10.179773	-0.021621	-1.5824652	0.5562144	0.0040618894	0.118	79.0	51.50408673286438
41	-33.335304	3.2273765	-26.14832	-41.684196	60.0	-12.885658	6.6897655	-2.2331047	-28.837406	168000	1.1920929e-08	8.360519	-0.021076871	-0.6029639	0.48118776	0.007944551	0.13	79.0	52.829758167266846
42	-32.757633	3.7087536	-24.887743	-39.59163	60.0	-12.871221	6.61714	-1.629209	-27.853909	172000	1.2874604e-08	9.678513	-0.025712147	-1.2766314	0.4576238	0.012783388	0.1595	79.0	54.096973180770874
43	-31.396751	3.0116174	-24.840813	-39.2364	60.0	-12.650131	6.235292	-2.8173616	-27.397688	176000	1.1920929e-09	10.465291	-0.022031127	-2.5029101	0.35339564	0.011565183	0.1345	79.0	55.41470503807068
44	-30.475704	2.8399942	-24.276266	-39.5085	60.0	-12.2564745	6.1942654	-2.2393599	-26.540365	180000	3.3378602e-09	7.572944	-0.020013213	-0.6855869	0.28598446	0.007856079	0.13625	79.0	56.75555419921875
45	-29.423243	3.564738	-23.932377	-36.446445	60.0	-11.981376	6.0781813	-2.0066888	-25.624245	184000	1.1444092e-08	8.02257	-0.023500957	-1.2183595	0.1838952	0.008172062	0.1485	79.0	58.00001096725464
46	-29.667269	3.1156049	-22.78768	-37.83558	60.0	-11.165099	5.97594	-1.1391648	-24.884336	188000	-2.7656554e-08	7.6098194	-0.024038319	-1.264247	0.16583857	0.012625969	0.1495	79.0	59.27782392501831
47	-29.227325	3.4282188	-22.511429	-38.57633	60.0	-11.509299	5.8039966	-2.206034	-24.553133	192000	-1.2874604e-08	9.020424	-0.0069498876	-1.5645466	0.090364344	0.008860739	0.07375	2.0	60.399489879608154
48	-29.015324	3.2243636	-21.556934	-35.302063	60.0	-11.41877	5.775278	-0.98303753	-24.343822	196000	5.2452087e-09	7.956397	-0.026925981	-1.5772262	0.09368914	0.0096633965	0.15125	79.0	61.615113735198975
49	-28.49997	3.2956069	-20.443897	-35.933716	60.0	-11.139645	5.619647	-0.60981303	-24.138355	200000	-2.2888184e-08	8.205328	-0.029658593	-1.3520432	0.033450928	0.014656103	0.174	62.0	62.89874577522278
50	-28.195951	2.9456863	-21.89993	-35.320843	60.0	-10.987863	5.6676927	-0.75086904	-23.67337	204000	1.0967255e-08	6.45155	-0.0045334883	-1.0806689	-0.010097652	0.0061975857	0.06075	2.0	64.18007183074951
51	-27.523989	3.2184453	-20.914658	-34.078587	60.0	-10.769151	5.77674	-0.4966647	-23.538576	208000	1.9073487e-09	8.036005	-0.023957549	-1.2689238	-0.06485738	0.014365309	0.16625	45.0	65.41297459602356
52	-26.712933	3.0321097	-20.524654	-36.89294	60.0	-10.418398	5.6616383	7.4019985	-36.120228	212000	7.629395e-09	8.757341	-0.02397816	-2.5192232	-0.1089546	0.013878637	0.1535	79.0	66.63999319076538
53	-26.492508	3.274957	-19.43482	-33.673843	60.0	-10.354242	5.192707	-1.5117184	-22.558746	216000	-1.66893e-08	5.90919	-0.025520438	-0.8752656	-0.14293632	0.01490206	0.15025	53.0	67.9200656414032
54	-26.632017	3.007903	-20.55374	-32.915916	60.0	-10.156422	5.4047985	-0.5692408	-26.2929	220000	3.051758e-08	6.4335957	-0.022855053	-1.0622215	-0.15365137	0.009416785	0.1365	79.0	69.19487500190735
55	-26.216282	3.1183283	-20.048006	-34.20541	60.0	-10.425002	5.2446275	-0.06478602	-22.348173	224000	-4.768372e-10	5.697042	-0.02403614	-0.608583	-0.19168146	0.008093815	0.14	79.0	70.50169348716736
56	-26.42925	3.1321514	-20.521023	-34.38613	60.0	-10.264894	5.1812263	-0.9935546	-22.123722	228000	1.9073487e-09	5.745656	-0.024962222	-0.7070761	-0.23796737	0.012956409	0.1565	79.0	71.68666887283325
57	-24.972343	3.0463967	-18.89553	-32.275112	60.0	-9.922931	5.1743655	-0.60439944	-21.959307	232000	1.66893e-08	6.1799645	-0.023669722	-1.0947652	-0.34534258	0.011800641	0.14	79.0	72.96901321411133
58	-25.111113	3.5381482	-18.842062	-32.953217	60.0	-9.561745	4.873752	-0.26192367	-21.779095	236000	2.2649765e-08	6.16169	-0.020517258	-0.89617157	-0.38590768	0.014187687	0.13775	49.0	74.20726823806763
59	-24.374407	3.1883824	-18.265919	-32.111786	60.0	-9.771907	4.9186153	-0.104362845	-21.578156	240000	-2.3841857e-09	4.762341	-0.025317356	-1.0185764	-0.43127298	0.009600399	0.1425	79.0	75.45257139205933
60	-23.878473	3.027235	-17.364216	-31.782871	60.0	-9.328348	4.922212	-0.19599679	-21.56208	244000	6.6757204e-09	4.572338	-0.024314601	-0.7144046	-0.45329833	0.010992731	0.16425	79.0	76.88871645927429
61	-23.95669	3.2480755	-17.130817	-30.922022	60.0	-9.379853	4.7867155	0.051696718	-21.216331	248000	6.198883e-09	3.4584396	-0.023436518	-0.5708585	-0.55803454	0.00924785	0.15675	79.0	78.24105381965637
62	-23.753967	3.2406306	-18.025873	-30.99646	60.0	-9.121601	4.932369	-0.011121213	-21.240135	252000	3.8146974e-09	3.0370052	-0.02463768	-0.37739944	-0.59876364	0.013643597	0.1585	79.0	79.50527215003967
63	-23.669018	3.6626134	-16.535448	-30.53174	60.0	-8.99719	4.7912583	0.10880238	-21.381407	256000	-1.4305114e-08	3.9768505	-0.005060299	-0.56030273	-0.63883483	0.002469511	0.00575	2.0	80.63592410087585
64	-22.859886	2.9736056	-17.027243	-29.884386	60.0	-9.047453	4.7158303	-0.028749079	-21.243198	260000	4.2915342e-09	2.998101	-0.025411082	-0.5874126	-0.6310546	0.014556421	0.1505	79.0	81.9236843585968
65	-22.581196	3.0985324	-15.636689	-29.734936	60.0	-8.675129	4.757115	0.23685399	-20.982815	264000	-2.5987624e-08	2.4479315	-0.024646182	-0.26911116	-0.7135832	0.014487296	0.16625	79.0	83.17782664299011
66	-22.211517	3.6699286	-14.942702	-29.296135	60.0	-8.582875	4.7685695	0.15379098	-21.06431	268000	2.861023e-09	3.8099396	-0.023381034	-0.80664897	-0.75983286	0.012007397	0.14275	79.0	84.4199047088623
67	-21.385094	2.9092932	-15.116397	-28.251184	60.0	-8.400176	4.496858	-0.050557524	-20.842607	272000	-8.106232e-09	3.195647	-0.009811414	-0.54421043	-0.84553576	0.009218906	0.0755	10.0	85.63787078857422
68	-21.580088	3.0987875	-15.89986	-28.419624	60.0	-8.15407	4.4062843	-0.24999905	-20.440006	276000	2.2888184e-08	2.9752512	-0.02325995	-0.5663445	-0.8304402	0.014781323	0.15625	63.0	86.85232710838318
69	-21.190084	2.874993	-15.1817875	-27.412037	60.0	-8.068747	4.43327	1.6522002	-20.82247	280000	-1.3351441e-08	2.7596955	-0.007957713	-0.41126323	-0.8939531	0.005719657	0.08625	6.0	87.92834782600403
70	-21.24542	2.899024	-15.609147	-28.495686	60.0	-8.061643	4.4042125	-0.10028908	-20.824156	284000	9.775162e-09	2.603839	-0.021005817	-0.46090794	-0.9048128	0.01151173	0.13925	79.0	89.34783554077148
71	-21.045492	3.0757926	-15.284994	-29.156399	60.0	-7.9658656	4.4400177	0.15250063	-20.656248	288000	-4.4345857e-08	2.5726771	-0.024499211	-0.34219122	-0.9583841	0.0126866605	0.1605	79.0	90.6606559753418
72	-20.42991	3.015213	-14.848124	-28.366451	60.0	-7.9354844	4.2957816	-0.2548429	-20.766624	292000	3.8146974e-09	2.5940025	-0.024933409	-0.47532845	-1.0667448	0.012180754	0.165	79.0	91.88795351982117
73	-20.573645	2.7798018	-15.474932	-27.986935	60.0	-7.6656303	4.2389846	-0.26972446	-20.477583	296000	-2.3841857e-09	2.4275694	-0.023681717	-0.37662816	-1.1311466	0.010564703	0.16575	79.0	93.15386438369751
74	-20.240202	3.3598995	-13.948808	-27.598486	60.0	-7.707492	4.069437	0.47171816	-20.473375	300000	9.536744e-10	3.276314	-0.019135106	-0.71746206	-1.1538316	0.013679042	0.1375	48.0	94.39070391654968
75	-19.92799	3.2098272	-14.336134	-28.177486	60.0	-7.753	4.3644176	0.7857256	-20.241875	304000	1.0490417e-08	2.2025924	-0.025869824	-0.56273663	-1.2398894	0.010774458	0.168	79.0	95.59311532974243
76	-19.972036	3.1914296	-14.561461	-27.46833	60.0	-7.4466977	4.1252675	0.9510017	-20.796793	308000	3.71933e-08	2.1443553	-0.003478549	-0.23348558	-1.2677253	0.004991526	0.05275	2.0	96.71072435379028
77	-18.903782	2.7028828	-13.329319	-24.789549	60.0	-6.9045687	4.0465455	0.33085537	-19.265629	312000	-3.9577483e-08	1.8772147	-0.0055247797	-0.41981864	-1.2736243	0.0071724867	0.05075	3.0	97.90758299827576
78	-19.630442	3.0537064	-14.558408	-27.392174	60.0	-7.3001523	4.053202	0.14212841	-20.256512	316000	-6.6757204e-09	1.9899642	-0.023271797	-0.29921794	-1.2696575	0.011628989	0.16925	79.0	99.18585777282715
79	-19.88773	3.2176824	-14.391588	-27.198177	60.0	-7.336115	4.195413	1.6732407	-20.71888	320000	-2.2888184e-08	1.5321366	-0.023977676	-0.34971595	-1.3365391	0.007068744	0.14125	79.0	100.41272449493408
80	-19.711588	3.0971837	-13.743571	-26.794922	60.0	-7.563195	4.2066526	0.18650591	-20.698236	324000	-1.6212464e-08	1.7300657	-0.02364461	-0.29438055	-1.3498421	0.011052925	0.15825	79.0	101.86545467376709
81	-19.249865	2.7052205	-14.412213	-25.20797	60.0	-7.2996387	4.153757	0.26858723	-19.58254	328000	-1.9073486e-08	1.5272744	-0.021362182	-0.33611643	-1.4366417	0.006483471	0.13775	79.0	103.1704490184784
82	-19.103884	3.227317	-14.516452	-26.47382	60.0	-7.0090175	4.0138307	0.18992847	-20.056675	332000	-4.7683715e-09	1.8360555	-0.022871116	-0.37068903	-1.4723941	0.01378438	0.15775	79.0	104.38481116294861
83	-18.776403	3.2874103	-13.065037	-27.187681	60.0	-7.1042576	4.0657177	0.37728217	-20.451601	336000	-2.5749207e-08	1.8019439	-0.019851685	-0.5217546	-1.5127959	0.013841425	0.1445	51.0	105.56011891365051
84	-18.470766	2.8178992	-13.364235	-27.877295	60.0	-6.8415976	4.0987997	2.024122	-20.4916	340000	-4.5776368e-08	1.7302258	-0.0044100895	-0.3834269	-1.5243368	0.0051131705	0.04175	2.0	106.72764492034912
85	-18.746992	2.9415023	-14.093901	-25.467695	60.0	-7.152521	3.9378548	0.044291496	-20.378925	344000	-3.8146972e-08	1.6123357	-0.0021454191	-0.30576265	-1.5426146	0.0025944426	0.0195	1.0	107.8043258190155
86	-18.854801	2.885004	-13.023296	-25.499102	60.0	-6.9950075	4.0423822	2.9846752	-20.858027	348000	1.9073487e-09	1.5266738	-0.0027445168	-0.34149623	-1.5364482	0.0035357026	0.027	1.0	108.94002985954285
