Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-161.39444	204.49557	-19.913778	-1213.3357	-714.1288	864.1299	-53.75587	-2153.9658	107.37838	298.0	3999	5.729741	9.77419	76.56904	-23.45078	5.7302084	9.776026	75.29415	-23.854446	-2.409722	4.195173	38.450928	-19.840088	-8.879711	1.0578015	1.0275853	43.53085470199585
2	-174.6329	206.99373	-17.993538	-1119.8344	-308.10858	531.1491	-82.73126	-1897.1239	111.757576	76.8	7999	62.041435	34.583992	209.26497	-45.821392	62.040764	34.587257	208.89073	-31.64116	7.661127	7.468722	54.996574	-20.859127	-70.55013	8.317532	8.25197	88.99551105499268
3	-263.29218	511.96597	-9.546148	-3079.3862	-225.81255	192.4986	-34.329548	-734.2982	110.92105	61.3	11999	271.7531	85.1003	513.72	-112.97567	271.75717	85.05866	508.15582	-98.95488	20.310825	10.602754	134.32254	-14.211947	-291.04004	84.34245	85.27147	133.1025676727295
4	-364.6901	676.1576	-36.242085	-2785.7856	-284.83438	406.1351	-14.862854	-1483.0568	136.95833	160.1	15999	355.43356	50.02679	532.12537	-244.0588	355.43683	49.981644	521.47394	-226.00179	8.607631	8.290495	88.96378	-23.140516	-361.90787	90.9003	90.58992	183.02707409858704
5	-741.64404	774.5622	-29.120878	-2072.954	-407.92682	421.71005	-27.63878	-1068.2017	414.27274	361.0	19999	293.25925	48.900627	466.88086	-210.9327	293.25842	48.893337	463.61685	-212.23924	2.8784695	5.917188	74.59919	-18.41822	-296.80927	46.685116	47.22962	233.81960225105286
6	-698.10406	596.31525	-59.15352	-1445.6523	-113.68048	115.86828	-18.46563	-440.44147	496.7143	181.4	23999	226.13826	41.350433	389.74857	-187.16974	226.13908	41.359432	379.53433	-155.99335	0.15215771	4.8054476	61.140377	-16.105742	-228.3911	27.215437	26.982548	280.37483048439026
7	-333.65326	355.26874	-20.499119	-1225.606	-31.201694	63.6199	103.28579	-118.33629	253.73334	733.1	27999	169.60692	33.89943	299.23535	-195.24617	169.60867	33.901733	303.34253	-190.89685	-1.6078769	4.133783	58.928226	-17.55482	-171.34282	17.312017	17.024343	337.9882216453552
8	-364.27487	349.60568	-10.415806	-1030.2228	353.9623	296.8798	697.5577	-208.00983	353.53845	1000.0	31999	124.22737	26.55065	236.12471	-114.95675	124.2283	26.540115	233.30461	-151.82652	-2.8161862	3.5760398	52.383453	-17.83436	-125.710075	11.786437	11.921578	400.1271245479584
9	-333.0237	303.47195	-11.752724	-791.1034	348.28116	115.94519	496.08777	148.06279	386.0	1000.0	35999	89.34467	20.392109	184.87682	-56.665947	89.34443	20.395388	185.1067	-83.48684	-3.6284819	3.1058824	39.68846	-17.889479	-90.71948	7.6974325	7.558538	462.01283288002014
10	-633.8229	193.81026	-256.57544	-807.1874	569.21643	116.88109	764.4646	343.57953	865.0	1000.0	39999	65.00803	16.720905	138.18564	-57.143448	65.00829	16.726692	134.06528	-41.40406	-4.110299	2.7878485	36.36285	-19.172523	-66.35237	5.389871	5.2432327	525.2420995235443
11	-443.56567	246.5642	-35.78846	-870.10803	572.35297	173.22884	786.3133	357.8459	653.3333	1000.0	43999	47.50836	14.100344	110.69761	-46.978817	47.507645	14.106892	114.1734	-37.433144	-4.4032354	2.595326	34.03895	-16.88536	-48.84472	4.1054063	4.0452127	588.5674510002136
12	-331.8333	182.93301	-17.40549	-625.2225	674.74567	74.25813	761.1639	544.8279	418.75	1000.0	47999	35.740387	12.737345	89.77709	-45.688118	35.739124	12.743448	89.89851	-38.03434	-4.548826	2.4369404	26.90963	-20.592865	-37.036926	3.744007	3.726305	651.1636581420898
13	-319.34366	216.63464	-20.877367	-660.2513	687.51514	124.484634	829.7548	463.90228	588.1429	1000.0	51999	27.506838	11.858954	79.907936	-39.518913	27.505396	11.864403	78.93637	-35.753048	-4.5233746	2.3741283	20.509348	-19.250645	-28.782648	3.4702823	3.448376	714.0342509746552
14	-380.40442	295.81808	-67.318146	-1011.39307	556.158	209.27339	747.6235	9.862063	546.5	901.2	55999	22.157217	11.613547	68.29367	-41.084267	22.155943	11.616574	67.289635	-42.00814	-4.5169883	2.3317676	22.473766	-17.677906	-23.408295	3.2221162	3.210959	775.3270764350891
15	-368.39786	163.50911	-45.262558	-534.5737	537.51355	201.44672	740.77057	144.34694	683.1667	1000.0	59999	18.564566	11.465016	60.60718	-44.007607	18.56368	11.466714	60.34127	-43.989563	-4.547424	2.3088157	24.33691	-18.463554	-19.800095	3.045373	3.024695	839.7529451847076
16	-368.17386	287.53253	-53.714146	-892.1708	355.23752	198.07732	574.41675	98.79348	472.75	1000.0	63999	15.774257	11.500189	57.06038	-50.30159	15.772644	11.502522	57.92619	-50.87033	-4.58696	2.2881265	20.939192	-19.636719	-16.972147	2.9561381	2.9609013	903.411500453949
17	-404.75742	311.29016	-60.118267	-947.3541	437.8374	230.88522	765.599	-97.30414	520.2857	1000.0	67999	13.253532	11.9233675	50.16115	-49.02034	13.252219	11.925518	49.19156	-50.253353	-4.6647167	2.2530146	18.801481	-18.53558	-14.400117	2.9854743	2.9797056	968.9316077232361
