Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-178.53796	248.24673	-26.933346	-1166.0002	-162.47043	121.773155	-16.704885	-434.70816	117.875	88.5	3999	2.9042284	5.7296925	35.482815	-27.347702	2.9035115	5.7253437	34.001907	-27.454557	-4.7288413	2.9884555	27.181234	-18.06322	-5.136906	0.5902784	0.60521567	43.651482343673706
2	-200.77104	230.6017	-19.468393	-1200.8322	-131.90776	72.15645	-40.699615	-287.18478	140.33333	40.6	7999	24.866158	14.420038	95.39258	-37.769283	24.865364	14.424685	98.28126	-37.250084	0.7338815	4.9668746	36.657585	-18.35233	-28.875168	2.4364073	2.3985653	94.05097532272339
3	-248.97562	445.63547	-3.311957	-2356.9443	-1062.2084	885.3802	-50.6064	-2773.0422	124.8125	574.0	11999	79.182556	21.085005	163.20198	-29.918203	79.18464	21.081343	158.81656	-43.98944	5.147207	6.23968	50.624588	-16.302635	-84.76919	9.4995775	9.420775	154.5535159111023
4	-415.34875	532.29517	-28.182232	-1886.0491	-299.58456	308.78354	-12.805156	-883.90826	216.70589	324.0	15999	88.71024	15.572987	150.60397	-34.342278	88.71236	15.564064	150.3146	-24.607435	0.040522482	4.7298107	39.78055	-19.055735	-90.935486	9.283598	9.163075	210.2631311416626
5	-433.8241	484.2721	-48.32721	-1427.7336	-19.31348	185.91171	440.3658	-310.92468	315.92307	779.8	19999	65.02984	15.355211	123.99604	-42.13263	65.02922	15.360561	123.44814	-27.32926	-2.173336	3.635324	27.776403	-19.945097	-66.57348	5.7430468	5.67551	275.3621575832367
6	-428.00385	372.6024	-24.80987	-1001.1377	220.54565	273.3938	711.3118	-125.25254	432.0	739.2	23999	44.329636	13.168199	108.534996	-32.861397	44.32812	13.169043	105.962105	-41.235065	-3.3443503	3.0281143	20.174517	-19.995296	-45.64939	3.9229672	3.9290817	339.73840975761414
7	-356.34756	362.83456	-16.459476	-934.8262	402.01523	244.02509	642.6766	-199.74622	387.41666	1000.0	27999	29.147196	11.008182	81.56122	-37.47461	29.146408	11.011342	81.32535	-31.827938	-4.1013365	2.6606736	19.532051	-18.623497	-30.375374	2.8664744	2.8709657	407.13174176216125
8	-331.64667	281.089	-30.44428	-844.06244	378.1183	149.7742	586.83704	18.859825	352.0	907.9	31999	18.488556	9.641077	70.548584	-39.536564	18.486856	9.6439495	69.363594	-37.571472	-4.461134	2.4720218	17.771957	-19.48926	-19.672352	2.473358	2.4678805	473.80440402030945
9	-263.62274	249.51152	-10.149458	-880.8258	267.96674	289.12537	704.99176	-124.120155	320.6154	1000.0	35999	11.0770035	8.873399	60.539215	-43.51042	11.075707	8.8705015	59.70487	-42.753483	-4.7549586	2.3497977	19.951235	-19.096992	-12.18825	2.2465982	2.2801025	540.2172808647156
10	-244.59233	205.23772	-27.574657	-565.5968	210.8643	241.52562	709.82764	-50.652138	301.0	1000.0	39999	5.8204308	8.402142	53.45588	-55.159225	5.8239126	8.397805	51.158703	-52.617973	-4.8947177	2.2933016	16.029327	-20.296497	-6.8834248	2.2053158	2.2317016	606.642294883728
11	-591.8189	206.58948	-253.9664	-923.42615	644.5574	111.75555	800.95	414.53552	725.3333	1000.0	43999	2.2742143	8.215432	44.684624	-55.278667	2.28006	8.20557	44.14073	-54.11097	-4.872512	2.250127	24.638216	-19.638178	-3.2992735	2.1783574	2.2372015	671.7695510387421
