Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
29	-8.055157	2.5141363	-4.523318	-15.553982	-7.128904	3.8501446	-3.129223	-16.906286	60.0	60.0	115999	-1.6772159	1.5313447	1.4635744	-10.244086	1.5828841	0.031634588	360.3620820045471
30	-8.511809	3.1855688	-3.9024496	-19.9317	-5.6952724	2.4196994	-2.5457487	-10.580306	60.0	60.0	119999	-1.6085416	1.5336214	1.6426463	-9.796293	1.5124183	0.031035129	374.32351994514465
31	-7.901911	2.4184475	-3.865824	-16.231508	-6.1464443	1.8945863	-2.0030584	-8.730021	60.0	60.0	123999	-1.540028	1.504506	1.0284696	-9.928107	1.4464864	0.028952165	387.9600112438202
32	-7.9705048	2.5602107	-3.0735104	-15.133693	-6.1765428	3.0486443	-2.0624375	-11.586827	60.0	60.0	127999	-1.5619067	1.4962803	1.7276944	-9.537636	1.4718649	0.02898656	401.65190029144287
33	-7.6059666	2.0484471	-3.160071	-12.010882	-4.6117635	2.4271023	-1.7459539	-10.276232	60.0	60.0	131999	-1.5499818	1.5023994	1.4053743	-10.100115	1.4606421	0.028756745	415.27498054504395
34	-7.454269	2.1539693	-4.0377636	-16.57778	-5.709502	1.7637317	-3.469006	-7.9424043	60.0	60.0	135999	-1.527467	1.47827	3.070094	-9.510241	1.4399631	0.027500317	428.8486611843109
35	-8.268382	3.2517715	-2.853887	-24.985025	-6.0630403	2.129118	-2.596196	-9.723746	60.0	60.0	139999	-1.5389947	1.4799519	1.5116776	-9.917647	1.4540535	0.028625177	442.4905381202698
36	-7.478819	2.27706	-3.6795511	-12.30572	-6.5274134	1.9569323	-2.7897553	-10.185898	60.0	60.0	143999	-1.5471022	1.4864858	2.1687593	-10.062639	1.4627137	0.028895766	456.0469808578491
37	-7.956037	2.2394881	-3.8133407	-13.795517	-7.48761	5.0819135	-3.190943	-21.65194	60.0	60.0	147999	-1.4921257	1.4950486	2.3365948	-9.764635	1.4036304	0.028248325	469.67966198921204
38	-8.711528	3.0437846	-4.1928444	-23.60001	-7.9817543	3.8037312	-3.6439517	-16.414015	60.0	60.0	151999	-1.3312025	1.5181192	2.639636	-9.966672	1.2387087	0.030045453	483.34241366386414
39	-8.365102	2.9617307	-4.4621396	-18.1492	-5.595605	2.2138233	-3.179776	-11.497347	60.0	60.0	155999	-1.3840475	1.4626712	2.1570678	-10.1740055	1.3029482	0.02765653	496.91048216819763
40	-7.8983045	2.0494866	-4.2127094	-15.56925	-6.5844817	1.0573909	-5.069366	-8.189423	60.0	60.0	159999	-1.4668939	1.4511205	3.3769047	-9.999804	1.3872797	0.02732045	510.83973145484924
41	-7.629482	2.2383883	-3.122167	-14.032178	-5.765387	1.6577067	-3.203117	-7.8842125	60.0	60.0	163999	-1.5115126	1.4635259	1.9380548	-10.17498	1.4347603	0.028853286	524.3302705287933
42	-7.6679306	1.8362459	-4.0568457	-11.319471	-4.685398	1.4322046	-2.3492165	-6.7904744	60.0	60.0	167999	-1.5165906	1.4721373	1.519401	-9.932079	1.4375713	0.028378693	538.0554602146149
43	-8.217529	4.962724	-3.578089	-32.135265	-9.366011	6.330974	-3.2226503	-21.916275	60.0	60.0	171999	-1.4568083	1.444141	2.5082438	-10.041298	1.3780938	0.026779743	551.5595695972443
44	-7.9404416	3.1102467	-4.017679	-17.656971	-5.9029922	1.9090338	-3.5001867	-10.205042	60.0	60.0	175999	-1.429187	1.4264784	1.5794216	-10.127434	1.3516562	0.024866771	565.228630065918
45	-7.549707	1.8554771	-3.1784327	-12.102847	-5.87464	2.1849442	-1.990545	-8.061874	60.0	60.0	179999	-1.430939	1.4571352	1.5994793	-9.86567	1.3539788	0.025213247	578.9068348407745
46	-6.8316774	1.966243	-3.6445885	-11.339828	-5.3913684	2.1164067	-2.3556492	-9.781127	60.0	60.0	183999	-1.4251055	1.4530144	1.882478	-10.457528	1.3483926	0.025102228	592.3650262355804
47	-8.297627	4.641498	-4.3522325	-22.916605	-5.903024	2.1561275	-3.180374	-9.858819	60.0	60.0	187999	-1.3131055	1.514384	6.3585668	-10.225437	1.2238402	0.02895161	606.1073322296143
48	-8.022704	2.582732	-2.9265578	-13.475297	-7.589999	1.3787177	-5.8090525	-10.732766	60.0	60.0	191999	-1.0836936	1.6081853	4.2293243	-9.855939	0.99353635	0.03178873	619.6572177410126
49	-7.997677	2.4688122	-3.3410254	-14.234074	-5.228064	2.1924903	-2.1193178	-9.441724	60.0	60.0	195999	-1.1402313	1.4577458	5.429746	-9.620647	1.0610597	0.027106615	633.2287018299103
50	-7.5686955	2.2423353	-3.1697476	-14.654263	-5.881656	2.057821	-2.7070987	-8.735259	60.0	60.0	199999	-1.2453921	1.4388258	1.7232891	-9.851576	1.1708845	0.025038056	647.2840826511383
